,Nome,CGC,Endereco
22,"IBATIBA, ES",4333-8,"rua elias alcure num 20 - centro 293950 - ibatiba, es tel: (28) 4003-1043 ag. numero: 4333-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
23,"IBIRACU, ES",0690-4,"rua joao alves da motta junior num 632-a - sao cristovao 296700 - ibiracu, es tel: (27) 4003-1043 ag. numero: 0690-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
24,"ICONHA, ES",1836-8,"avenida cel. antonio duarte num 223 - centro 292800 - iconha, es tel: (28) 4003-1043 ag. numero: 1836-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
25,"ITAGUACU, ES",1962-3,"rua manoel francisco soares num 385 - centro 296900 - itaguacu, es tel: (27) 4003-1043 ag. numero: 1962-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
26,"ITAPEMIRIM, ES",1384-6,"avenida itapemirim num 587 - praia da itaipava 293300 - itapemirim, es tel: (28) 4003-1043 ag. numero: 1384-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
27,"IUNA, ES",1115-0,"avenida presidente getulio vargas num 252 - centro 293900 - iuna, es tel: (28) 4003-1043 ag. numero: 1115-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
28,"JOAO NEIVA, ES",1114-2,"rua negri orestes num 40 - centro 296800 - joao neiva, es tel: (27) 4003-1043 ag. numero: 1114-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
29,"CONCEICAO DE LINHARES, ES",3489-4,"rua governador florentino avidos num 80 - nossa senhora da conceicao 29900490 - linhares, es tel: (27) 4003-1043 ag. numero: 3489-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
30,"LINHARES, ES",0555-0,"avenida nogueira da gama num 1197 - centro 2990040 - linhares, es tel: (27) 4003-1043 ag. numero: 0555-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
31,"MARATAIZES, ES",0850-8,"praca antonio jacques soares num s/n - barra 293450 - marataizes, es tel: (28) 4003-1043 ag. numero: 0850-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
32,"ESTACAO MARECHAL, ES",1434-6,"rua santana num 20 - centro 292550 - marechal floriano, es tel: (27) 4003-1043 ag. numero: 1434-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
33,"MIMOSO DO SUL, ES",1908-9,"rua espirito santo num 172 - centro 294000 - mimoso do sul, es tel: (28) 4003-1043 ag. numero: 1908-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
34,"MONTANHA, ES",0716-1,"praca oswaldo lopes num 283 - centro 298900 - montanha, es tel: (27) 4003-1043 ag. numero: 0716-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
35,"MUQUI, ES",0592-4,"rua vieira machado num 415 - centro 294800 - muqui, es tel: (28) 4003-1043 ag. numero: 0592-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
36,"NOVA VENECIA, ES",0556-8,"avenida vitoria num 112 - centro 298300 - nova venecia, es tel: (27) 4003-1043 ag. numero: 0556-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
37,"CIDADE DE PINHEIROS, ES",3366-9,"avenida agenor luiz heringer num 207 - centro 299800 - pinheiros, es tel: (27) 4003-1043 ag. numero: 3366-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
38,"PIUMA, ES",2056-7,"avenida maria goncalves marvila num 98 - centro 292850 - piuma, es tel: (28) 4003-1043 ag. numero: 2056-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
39,"CIDADE DE PRESIDENTE KENNEDY, ES",2396-5,"rua rosental willian borges num 33 - centro 293500 - presidente kennedy, es tel: (28) 4003-1043 ag. numero: 2396-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
40,"POMERANOS, ES",3619-6,"rua florencio augusto berger num 36 - centro 296450 - santa maria de jetiba, es tel: (27) 4003-1043 ag. numero: 3619-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
41,"SANTA TERESA, ES",1826-0,"rua ricardo pasolini num 63 - centro 296500 - santa teresa, es tel: (27) 4003-1043 ag. numero: 1826-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
42,"SAO GABRIEL DA PALHA, ES",0721-8,"praca barao do rio branco num 118 - centro 297800 - sao gabriel da palha, es tel: (27) 4003-1043 ag. numero: 0721-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
43,"SAO JOSE DO CALCADO, ES",1734-5,"rua francisco nunes de moraes num 37 - centro 294700 - sao jose do calcado, es tel: (28) 4003-1043 ag. numero: 1734-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
44,"SAO MATEUS, ES",0717-0,"avenida jones dos santos neves num 338 - centro 2993010 - sao mateus, es tel: (27) 4003-1043 ag. numero: 0717-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
45,"CARAPINA, ES",2041-9,"rua antonio caron num 139 - planalto de carapina 29162708 - serra, es tel: (27) 4003-1043 ag. numero: 2041-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
46,"JACARAIPE, ES",2146-6,"avenida abido saadi num 1451 - jardim atlantico 29175269 - serra, es tel: (27) 4003-1043 ag. numero: 2146-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
47,"JARDIM LIMOEIRO, ES",1046-4,"avenida desembargador mario da silva nunes num 1420 - jardim limoeiro 2916444 - serra, es tel: (27) 4003-1043 ag. numero: 1046-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
48,"LARANJEIRAS DA SERRA, ES",3139-9,"avenida norte sul num 3721 - civit ii 2916878 - serra, es tel: (27) 4003-1043 ag. numero: 3139-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
49,"SERRA, ES",0882-6,"rua princesa isabel num 45 - serra centro 29176110 - serra, es tel: (27) 4003-1043 ag. numero: 0882-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
50,"VARGEM ALTA, ES",4654-0,"avenida nestor gomes num 248 - centro 292950 - vargem alta, es tel: (28) 4003-1043 ag. numero: 4654-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
51,"VENDA NOVA DO IMIGRANTE, ES",1306-4,"avenida evandi americo comarela num 305 - centro 293750 - venda nova do imigrante, es tel: (28) 4003-1043 ag. numero: 1306-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
52,"VIANA, ES",1255-6,"rua governador rubim num 160 - centro 29130148 - viana, es tel: (27) 4003-1043 ag. numero: 1255-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
53,"COBILANDIA, ES",3132-1,"avenida carlos lindenberg num 5417 - cobilandia 29111165 - vila velha, es tel: (27) 4003-1043 ag. numero: 3132-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
54,"GLORIA, ES",1643-8,"avenida carlos lindenberg num 1053 - gloria 29122355 - vila velha, es tel: (27) 4003-1043 ag. numero: 1643-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
55,"ITAPARICA, ES",3025-2,"avenida saturnino rangel mauro num 900 - praia de itaparica 2910234 - vila velha, es tel: (27) 4003-1043 ag. numero: 3025-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
56,"JARDIM ITAPOA, ES",2521-6,"rua antonio ataide num 1717 - centro de vila velha 29100295 - vila velha, es tel: (27) 4003-1043 ag. numero: 2521-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
57,"TERRA VERMELHA, ES",4776-7,"avenida seringal num 01 - normilia da cunha 29127380 - vila velha, es tel: (27) 4003-1043 ag. numero: 4776-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
58,"VILA VELHA, ES",0173-2,"avenida champagnat num 1089 - centro de vila velha 2910011 - vila velha, es tel: (27) 4003-1043 ag. numero: 0173-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
59,"BEIRAMAR, ES",0167-8,"avenida princesa isabel num 86 - centro 29010360 - vitoria, es tel: (27) 4003-1043 ag. numero: 0167-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
60,"ENSEADA, ES",0168-6,"avenida nossa senhora dos navegantes num 955 - enseada do sua 29050335 - vitoria, es tel: (27) 4003-1043 ag. numero: 0168-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
61,"FINDES, ES",2503-8,"avenida nossa senhora da penha num 2156 - barro vermelho 29057565 - vitoria, es tel: (27) 4003-1043 ag. numero: 2503-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
62,"GOIABEIRAS, ES",1034-0,"avenida fernando ferrari num 2033 - goiabeiras 2907573 - vitoria, es tel: (27) 4003-1043 ag. numero: 1034-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
63,"JARDIM CAMBURI, ES",3084-8,"avenida jose maria vivacqua santos num 250 - jardim camburi 29090160 - vitoria, es tel: (27) 4003-1043 ag. numero: 3084-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
64,"JARDIM DA PENHA, ES",1564-4,"avenida dante micheline num 729 - jardim da penha 29060235 - vitoria, es tel: (27) 4003-1043 ag. numero: 1564-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
65,"JUCUTUQUARA, ES",0823-0,"avenida paulino muller num 495 - jucutuquara 29040715 - vitoria, es tel: (27) 4003-1043 ag. numero: 0823-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
66,"PRAIA DO CANTO, ES",2042-7,"avenida nossa senhora da penha num 699 - praia do canto 29055131 - vitoria, es tel: (27) 4003-1043 ag. numero: 2042-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
67,"UNIVERSIDADE FEDERAL VITORIA, ES",0662-9,"avenida fernando ferrari num 845 - goiabeiras 29075910 - vitoria, es tel: (27) 4003-1043 ag. numero: 0662-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
