,Nome,CGC,Endereco
28,"ATIBAIA, SP",0285-2,"praca aprigio de toledo num 16 - centro 12940670 - atibaia, sp tel: (11) 4003-1043 ag. numero: 0285-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
29,"LUCAS GARCEZ, SP",3506-8,"alameda professor lucas nogueira garcez num 2801 - jardim paulista 129470 - atibaia, sp tel: (11) 4003-1043 ag. numero: 3506-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
30,"AURIFLAMA, SP",4209-9,"avenida arlindo brambilla num 40-98 - centro 153500 - auriflama, sp tel: (17) 4003-1043 ag. numero: 4209-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
31,"AVARE, SP",0286-0,"rua maranhao num 1509 - centro 1870560 - avare, sp tel: (14) 4003-1043 ag. numero: 0286-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
32,"BARIRI, SP",0287-9,"rua sete de setembro num 1006 - centro 1725089 - bariri, sp tel: (14) 4003-1043 ag. numero: 0287-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
33,"BARRA BONITA, SP",1209-2,"rua salvador de toledo num 968 - centro 1734023 - barra bonita, sp tel: (14) 4003-1043 ag. numero: 1209-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
34,"BARRETOS, SP",0288-7,"rua 20 num 827 - centro 1478070 - barretos, sp tel: (17) 4003-1043 ag. numero: 0288-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
35,"PARQUE DO PEAO, SP",4361-3,"avenida 43 num 402 - centro 14780425 - barretos, sp tel: (17) 4003-1043 ag. numero: 4361-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
36,"BARRINHA, SP",4993-0,"rua cordeiro num 93 - centro 148600 - barrinha, sp tel: (16) 4003-1043 ag. numero: 4993-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
37,"ALAMEDA ARAGUAIA, SP",3788-5,"alameda araguaia num 2104 - alphaville industrial 64550 - barueri, sp tel: (11) 4003-1043 ag. numero: 3788-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
38,"ALPHAVILLE, SP",1969-0,"alameda araguaia num 240 - alphaville industrial 64550 - barueri, sp tel: (11) 4003-1043 ag. numero: 1969-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
39,"AVENIDA ZELIA, SP",2990-4,"avenida zelia num 973 - parque dos camargos 64360 - barueri, sp tel: (11) 4003-1043 ag. numero: 2990-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
40,"BARUERI, SP",0738-2,"avenida arnaldo rodrigues bittencourt num 550 - centro 6401125 - barueri, sp tel: (11) 4003-1043 ag. numero: 0738-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
41,"ROMEIROS, SP",4132-7,"avenida sargento jose siqueira num 614 - jardim paraiso 6412180 - barueri, sp tel: (11) 4003-1043 ag. numero: 4132-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
42,"BASTOS, SP",1188-6,"rua osvaldo cruz num 478 - centro 176900 - bastos, sp tel: (14) 4003-1043 ag. numero: 1188-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
43,"BATATAIS, SP",0289-5,"rua coronel joaquim rosa num 159 - centro 1430039 - batatais, sp tel: (16) 4003-1043 ag. numero: 0289-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
44,"ALTOS DA CIDADE, SP",2141-5,"rua rio branco quadra num 24-75 - jardim estoril iv 17016190 - bauru, sp tel: (14) 4003-1043 ag. numero: 2141-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
45,"BAURU, SP",0290-9,"rua gustavo maciel q 7-33 - centro 17010180 - bauru, sp tel: (14) 4003-1043 ag. numero: 0290-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
46,"CENTENARIO, SP",1996-8,"avenida duque de caxias q 18-75 - vila cardia 1701166 - bauru, sp tel: (14) 4003-1043 ag. numero: 1996-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
47,"JARDIM REDENTOR, SP",4210-2,"avenida cruzeiro do sul quadra num 30-30 - jardim redentor 170320 - bauru, sp tel: (14) 4003-1043 ag. numero: 4210-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
48,"NACOES UNIDAS, SP",4078-9,"avenida nacoes unidas quadra - vila nova cidade universitaria 17012202 - bauru, sp tel: (14) 4003-1043 ag. numero: 4078-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
49,"VILA FALCAO, SP",3507-6,"rua olegario machado quadra num 4-19 - vila souto 17050280 - bauru, sp tel: (14) 4003-1043 ag. numero: 3507-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
50,"BEBEDOURO, SP",0291-7,"praca barao do rio branco num 12 - centro 14700129 - bebedouro, sp tel: (17) 4003-1043 ag. numero: 0291-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
51,"BERTIOGA, SP",2728-6,"avenida anchieta num 715 - centro 1125048 - bertioga, sp tel: (13) 4003-1043 ag. numero: 2728-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
52,"BIRIGUI, SP",0574-6,"rua siqueira campos num 570 - centro 1620056 - birigui, sp tel: (18) 4003-1043 ag. numero: 0574-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
53,"CIDADE PEROLA, SP",3502-5,"rua saudades num 1552 - jardim perola 162008 - birigui, sp tel: (18) 4003-1043 ag. numero: 3502-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
54,"BIRITIBA-MIRIM, SP",2023-0,"praca dr. renato della togna num 35 - centro 89400 - biritiba-mirim, sp tel: (11) 4003-1043 ag. numero: 2023-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
55,"BOA ESPERANCA DO SUL, SP",1929-1,"rua dos bragas num 665 - centro 149300 - boa esperanca do sul, sp tel: (16) 4003-1043 ag. numero: 1929-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
56,"BOITUVA, SP",2839-8,"praca ricieri gianotti num 36 - centro 1855019 - boituva, sp tel: (15) 4003-1043 ag. numero: 2839-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
57,"BOM JESUS DOS PERDOES, SP",2777-4,"rua major murzilho num 166 - centro 129550 - bom jesus dos perdoes, sp tel: (11) 4003-1043 ag. numero: 2777-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
58,"BORBOREMA PAULISTA, SP",4491-1,"rua quintino bocaiuva num 788 - centro 149550 - borborema, sp tel: (16) 4003-1043 ag. numero: 4491-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
59,"AV VITAL BRASIL, SP",4896-8,"avenida doutor vital brasil num 820 - vila sao lucio 18603193 - botucatu, sp tel: (14) 4003-1043 ag. numero: 4896-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
60,"BOTUCATU, SP",0292-5,"rua general telles num 1226 - centro 18602903 - botucatu, sp tel: (14) 4003-1043 ag. numero: 0292-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
61,"VILA DOS LAVRADORES, SP",2965-3,"rua major matheus num 647 - vila dos lavradores 1860983 - botucatu, sp tel: (14) 4003-1043 ag. numero: 2965-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
62,"BRAGANCA PAULISTA, SP",0293-3,"rua coronel osorio num 125 - centro 12900150 - braganca paulista, sp tel: (11) 4003-1043 ag. numero: 0293-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
63,"LAGO DO TABOAO, SP",3305-7,"rua tupy num 151 - taboao 12900290 - braganca paulista, sp tel: (11) 4003-1043 ag. numero: 3305-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
64,"LAVAPES, SP",3500-9,"rua doutor freitas num 171 - matadouro 12910340 - braganca paulista, sp tel: (11) 4003-1043 ag. numero: 3500-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
65,"BRODOWSKI, SP",2105-9,"rua floriano peixoto num 877 - centro 143400 - brodowski, sp tel: (16) 4003-1043 ag. numero: 2105-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
66,"BROTAS, SP",0294-1,"avenida mario pinotti num 396 - centro 173805 - brotas, sp tel: (14) 4003-1043 ag. numero: 0294-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
67,"BURITAMA, SP",4243-9,"praca ana rita mendes num 56 - centro 152900 - buritama, sp tel: (18) 4003-1043 ag. numero: 4243-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
68,"CABREUVA, SP",3601-3,"rua maranhao num 1003 - centro (jacare) 13318122 - cabreuva, sp tel: (11) 4003-1043 ag. numero: 3601-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
69,"CACAPAVA, SP",0295-0,"praca da bandeira num 85 - centro 12281630 - cacapava, sp tel: (12) 4003-1043 ag. numero: 0295-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
70,"CACHOEIRA PAULISTA, SP",2003-6,"avenida domiciano num 432 - centro 126300 - cachoeira paulista, sp tel: (12) 4003-1043 ag. numero: 2003-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
71,"CAFELANDIA, SP",1857-0,"rua antonio parras arenas num 06 - centro 165000 - cafelandia, sp tel: (14) 4003-1043 ag. numero: 1857-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
72,"CAIEIRAS, SP",2106-7,"avenida professor carvalho pinto num 180 - regiao central 7700210 - caieiras, sp tel: (11) 4003-1043 ag. numero: 2106-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
73,"CIDADE DOS PINHEIRAIS, SP",4494-6,"avenida pauliceia num 301 - laranjeiras 774425 - caieiras, sp tel: (11) 4003-1043 ag. numero: 4494-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
74,"CAJAMAR, SP",0546-0,"avenida domingo alonso lopez num 66 - altos de jordanesia (jordanesia) 7786495 - cajamar, sp tel: (11) 4003-1043 ag. numero: 0546-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
75,"POLVILHO, SP",4230-7,"avenida tenente marques num 2216 - polvilho (polvilho) 7790500 - cajamar, sp tel: (11) 4003-1043 ag. numero: 4230-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
76,"CAJATI, SP",3700-1,"rua joao pedro jorge num 113 - bico do pato 119500 - cajati, sp tel: (13) 4003-1043 ag. numero: 3700-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
77,"CAJURU, SP",1165-7,"rua dona maria pires num 685 - centro 142400 - cajuru, sp tel: (16) 4003-1043 ag. numero: 1165-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
78,"AV DA SAUDADE, SP",1719-1,"avenida da saudade num 805 - ponte preta 13041670 - campinas, sp tel: (19) 4003-1043 ag. numero: 1719-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
79,"AV DAS AMOREIRAS, SP",4004-5,"avenida das amoreiras num 1649 - parque industrial 13031435 - campinas, sp tel: (19) 4003-1043 ag. numero: 4004-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
80,"BARAO GERALDO, SP",2966-1,"avenida albino jose barbosa de oliveira num 1347 - barao geraldo 130848 - campinas, sp tel: (19) 4003-1043 ag. numero: 2966-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
81,"BONFIM, SP",4083-5,"avenida governador pedro de toledo num 1268 - bonfim 13070751 - campinas, sp tel: (19) 4003-1043 ag. numero: 4083-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
82,"CAMBUI DE CAMPINAS, SP",3914-4,"avenida benjamin constant num 2010 - cambui 130255 - campinas, sp tel: (19) 4003-1043 ag. numero: 3914-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
83,"CAMPINAS, SP",0296-8,"avenida francisco glicerio num 1480 - centro 13012100 - campinas, sp tel: (19) 4003-1043 ag. numero: 0296-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
84,"CONCEICAO, SP",0676-9,"rua conceicao num 96 - centro 1301050 - campinas, sp tel: (19) 4003-1043 ag. numero: 0676-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
85,"FORUM TRABALHISTA DE CAMPINAS, SP",4056-8,"avenida jose de souza campos num 422 - nova campinas 13092123 - campinas, sp tel: (19) 4003-1043 ag. numero: 4056-8 horario de atendimento: 11:00 as 16:00 (dias uteis)"
86,"JARDIM DO TREVO, SP",2861-4,"avenida papa paulo vi num 444 - jardim do trevo 130400 - campinas, sp tel: (19) 4003-1043 ag. numero: 2861-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
87,"JARDIM LONDRES, SP",4898-4,"rua jose rosolem num 679 - jardim londres 13060222 - campinas, sp tel: (19) 4003-1043 ag. numero: 4898-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
88,"JARDIM OURO VERDE, SP",4089-4,"avenida suacuna num 757 - vila aeroporto 13054105 - campinas, sp tel: (19) 4003-1043 ag. numero: 4089-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
89,"JD. NOVA EUROPA, SP",0999-7,"avenida baden powell num 1603 - jardim nova europa 1304093 - campinas, sp tel: (19) 4003-1043 ag. numero: 0999-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
90,"JOAO JORGE, SP",4084-3,"avenida joao jorge num 387 - vila industrial 13035680 - campinas, sp tel: (19) 4003-1043 ag. numero: 4084-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
91,"JULIO DE MESQUITA, SP",4985-9,"avenida julio de mesquita num 670 - cambui 1302561 - campinas, sp tel: (19) 4003-1043 ag. numero: 4985-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
92,"MIRANTE DO CASTELO, SP",2908-4,"avenida andrade neves num 2327 - jardim chapadao 130701 - campinas, sp tel: (19) 4003-1043 ag. numero: 2908-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
93,"MORAES SALES, SP",1211-4,"avenida doutor moraes sales num 1186 - centro 130101 - campinas, sp tel: (19) 4003-1043 ag. numero: 1211-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
94,"NORTE-SUL, SP",2952-1,"avenida jose de souza campos num 1165 - cambui 13025320 - campinas, sp tel: (19) 4003-1043 ag. numero: 2952-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
95,"SAO QUIRINO, SP",3100-3,"rua bento arruda camargo num 998 - jardim santana 13088650 - campinas, sp tel: (19) 4003-1043 ag. numero: 3100-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
96,"SHOPPING UNIMART, SP",2886-0,"avenida john boyd dunlop num 350 - jardim aurelia 130330 - campinas, sp tel: (19) 4003-1043 ag. numero: 2886-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
97,"SOUSAS, SP",2883-5,"avenida antonio carlos couto de barros num 1023 - sousas 13105500 - campinas, sp tel: (19) 4003-1043 ag. numero: 2883-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
98,"TAQUARAL, SP",1604-7,"rua adalberto maia num 15 - taquaral 130767 - campinas, sp tel: (19) 4003-1043 ag. numero: 1604-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
99,"VIA BRASIL, SP",4073-8,"avenida brasil num 470 - jardim brasil 1302375 - campinas, sp tel: (19) 4003-1043 ag. numero: 4073-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
100,"CAMPO LIMPO PAULISTA, SP",1189-4,"avenida presidente vargas num 94 - vila tavares 13230100 - campo limpo paulista, sp tel: (11) 4003-1043 ag. numero: 1189-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
101,"CAMPOS DO JORDAO, SP",0297-6,"avenida januario miraglia num 600 - abernessia 124600 - campos do jordao, sp tel: (12) 4003-1043 ag. numero: 0297-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
102,"CANDIDO MOTA, SP",1190-8,"rua coronel valencio carneiro num 158 - centro 1988033 - candido mota, sp tel: (18) 4003-1043 ag. numero: 1190-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
103,"CAPAO BONITO, SP",1213-0,"rua floriano peixoto num 399 - centro 183005 - capao bonito, sp tel: (15) 4003-1043 ag. numero: 1213-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
104,"CAPIVARI, SP",0298-4,"rua bento dias num 246 - centro 1336089 - capivari, sp tel: (19) 4003-1043 ag. numero: 0298-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
105,"CARAGUATATUBA, SP",0797-8,"rua sebastiao mariano nepomuceno num 341 - centro 11660130 - caraguatatuba, sp tel: (12) 4003-1043 ag. numero: 0797-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
106,"CARAPICUIBA, SP",0637-8,"avenida rui barbosa num 281/287 - centro 63110 - carapicuiba, sp tel: (11) 4003-1043 ag. numero: 0637-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
107,"VILA DIRCE, SP",4053-3,"avenida inocencio serafico num 3445 - vila silva ribeiro 638021 - carapicuiba, sp tel: (11) 4003-1043 ag. numero: 4053-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
108,"VILA MARCONDES, SP",4849-6,"estrada cabreuva num 701 - vila santa lucia 63211 - carapicuiba, sp tel: (11) 4003-1043 ag. numero: 4849-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
109,"CASA BRANCA, SP",0905-9,"rua altino arantes num 521 - centro 137000 - casa branca, sp tel: (19) 4003-1043 ag. numero: 0905-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
110,"CASTILHO, SP",2019-2,"rua nagib muhana zahr num 553 - centro 169200 - castilho, sp tel: (18) 4003-1043 ag. numero: 2019-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
111,"CATANDUVA, SP",0299-2,"praca da republica num 05 - centro 15800105 - catanduva, sp tel: (17) 4003-1043 ag. numero: 0299-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
112,"MONSENHOR ALBINO, SP",2967-0,"rua minas gerais num 658 - centro 15801280 - catanduva, sp tel: (17) 4003-1043 ag. numero: 2967-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
113,"CERQUEIRA CESAR, SP",4206-4,"rua professora hilda cunha num 30 - centro 1876021 - cerqueira cesar, sp tel: (14) 4003-1043 ag. numero: 4206-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
114,"CERQUILHO, SP",1214-9,"rua doutor soares hungria num 270 - centro 18520111 - cerquilho, sp tel: (15) 4003-1043 ag. numero: 1214-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
115,"CESARIO LANGE, SP",1689-6,"praca adolfo testa num 776 - centro 182850 - cesario lange, sp tel: (15) 4003-1043 ag. numero: 1689-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
116,"CIDADE DE CHARQUEADA, SP",4901-8,"rua santo antonio num 55 - centro 1351586 - charqueada, sp tel: (19) 4003-1043 ag. numero: 4901-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
117,"CHAVANTES, SP",1837-6,"rua azarias bueno num 356 - centro 1897019 - chavantes, sp tel: (14) 4003-1043 ag. numero: 1837-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
118,"COLINA, SP",1180-0,"rua sete de setembro num 156 - centro 147700 - colina, sp tel: (17) 4003-1043 ag. numero: 1180-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
119,"CONCHAL, SP",4718-0,"rua francisco ferreira alves num 305 - centro 138350 - conchal, sp tel: (19) 4003-1043 ag. numero: 4718-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
120,"CORDEIROPOLIS, SP",1938-0,"praca jamil abrahao saad num 221 - centro 134900 - cordeiropolis, sp tel: (19) 4003-1043 ag. numero: 1938-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
121,"COSMOPOLIS, SP",1191-6,"avenida ester num 89 - centro 1315029 - cosmopolis, sp tel: (19) 4003-1043 ag. numero: 1191-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
122,"COTIA, SP",0906-7,"avenida nossa senhora de fatima num 500 - vila monte serrat 6717210 - cotia, sp tel: (11) 4003-1043 ag. numero: 0906-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
123,"GRANJA VIANNA, SP",1732-9,"rua jose lopes vigara num 200 - jardim da gloria 6711508 - cotia, sp tel: (11) 4003-1043 ag. numero: 1732-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
124,"NOVA COTIA, SP",3561-0,"avenida antonio mathias de camargo num 512 - centro 6700158 - cotia, sp tel: (11) 4003-1043 ag. numero: 3561-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
125,"CRAVINHOS, SP",1358-7,"avenida fagundes num 194 - centro 141400 - cravinhos, sp tel: (16) 4003-1043 ag. numero: 1358-7 horario de atendimento: 11:00 as 16:00 (dias uteis)"
126,"CRUZEIRO, SP",0300-0,"rua capitao avelino bastos num 719/741 - centro 12701440 - cruzeiro, sp tel: (12) 4003-1043 ag. numero: 0300-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
127,"CUBATAO, SP",0301-8,"avenida nove de abril num 2081 - centro 115100 - cubatao, sp tel: (13) 4003-1043 ag. numero: 0301-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
128,"PRINCESA ISABEL, SP",3742-7,"avenida pedro jose cardoso num 480 - vila paulista 11510100 - cubatao, sp tel: (13) 4003-1043 ag. numero: 3742-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
129,"CUNHA, SP",4356-7,"praca conego siqueira num 61 - centro 125300 - cunha, sp tel: (12) 4003-1043 ag. numero: 4356-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
130,"DESCALVADO, SP",0595-9,"rua barao de descalvado num 333 - centro 136900 - descalvado, sp tel: (19) 4003-1043 ag. numero: 0595-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
131,"CANHEMA, SP",3300-6,"avenida dom joao vi num 725 - canhema 9940150 - diadema, sp tel: (11) 4003-1043 ag. numero: 3300-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
