,Nome,CGC,Endereco
15,"BARAO DE COCAIS, MG",2838-0,"avenida wilson alvarenga de oliveira num 410 - viuva 359700 - barao de cocais, mg tel: (31) 4003-1043 ag. numero: 2838-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
16,"BARBACENA, MG",0099-0,"rua quinze de novembro num 200 - centro 3620074 - barbacena, mg tel: (32) 4003-1043 ag. numero: 0099-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
17,"21 DE ABRIL, MG",2187-3,"avenida alvares cabral num 476 - centro 301700 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 2187-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
18,"ABC, MG",2255-1,"avenida getulio vargas num 470 - funcionarios 3011220 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 2255-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
19,"ALIPIO DE MELO, MG",2427-9,"avenida abilio machado num 1873 - gloria 30830373 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 2427-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
20,"ALTEROSAS, MG",2161-0,"rua julio pereira da silva num 86 - cidade nova 31170360 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 2161-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
21,"BAIRRO CEU AZUL, MG",2279-9,"joao gualberto dos santos num 72 - ceu azul 31580500 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 2279-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
22,"BAIRRO SANTA MONICA, MG",4216-1,"rua erico verissimo num 1662 - santa monica 315200 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 4216-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
23,"BARREIRO, MG",0082-5,"avenida sinfronio brochado num 645 - barreiro 306400 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0082-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
24,"BARRO PRETO, MG",0083-3,"avenida augusto de lima num 1578 - barro preto 301903 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0083-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
25,"BELVEDERE, MG",2922-0,"avenida luis paulo franco num 533 - belvedere 30320570 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 2922-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
26,"BETANIA, MG",1422-2,"rua ursula paulino num 1300 - betania 305802 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 1422-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
27,"BURITIS, MG",2923-8,"avenida professor mario werneck num 1200 - buritis 30455610 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 2923-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
28,"CALAFATE, MG",1640-3,"avenida silva lobo num 1400 - nova granada 30431262 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 1640-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
29,"CARMO-SION, MG",1532-6,"avenida do contorno num 5809 - santa efigenia 3011017 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 1532-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
30,"CELSO FURTADO, MG",2984-0,"rua timbiras num 2344 - lourdes 3014061 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 2984-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
31,"DEL REY, MG",3311-1,"rua mantena num 22 - ouro preto 31310430 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 3311-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
32,"FLORESTA, MG",0086-8,"avenida do contorno num 1528 - floresta 301108 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0086-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
33,"HORTO FLORESTAL, MG",0087-6,"rua pouso alegre num 2342 - santa tereza 31010514 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0087-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
34,"IMPERADOR, MG",0090-6,"avenida dom pedro ii num 1408 - bonfim 31210442 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0090-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
35,"INCONFIDENCIA, MG",0085-0,"rua curitiba num 888 - centro 30170120 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0085-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
36,"ITACOLOMI, MG",2426-0,"avenida francisco deslandes num 991 - anchieta 30310530 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 2426-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
37,"JOAO GUIMARAES ROSA, MG",3552-1,"avenida olinto meireles num 2600 - miramar 30620330 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 3552-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
38,"LAGOA DO NADO, MG",2983-1,"avenida doutor cristiano guimaraes num 1691 - planalto 31720300 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 2983-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
39,"LUXEMBURGO, MG",1530-0,"rua guaicui num 81 - coracao de jesus 30380380 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 1530-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
40,"MANGABEIRAS, MG",0681-5,"avenida afonso pena num 4045 - mangabeiras 301308 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0681-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
41,"MINAS GERAIS, MG",0815-0,"rua jacui num 3636 - ipiranga 31160190 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0815-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
42,"MINAS TENIS, MG",1533-4,"rua antonio de albuquerque num 1065 - lourdes 3011211 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 1533-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
43,"OLEGARIO MACIEL, MG",0536-3,"avenida olegario maciel num 591 - centro 30180110 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0536-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
44,"PADRE EUSTAQUIO, MG",0089-2,"rua padre eustaquio num 2571 - padre eustaquio 30720100 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0089-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
45,"PAMPULHA, MG",1746-9,"avenida presidente antonio carlos num 7636 - sao luiz 31270672 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 1746-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
46,"PARC ROYAL, MG",1667-5,"rua da bahia num 902 - centro 3016011 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 1667-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
47,"SANTA EFIGENIA, MG",0093-0,"rua maranhao num 318 - santa efigenia 30150330 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0093-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
48,"SANTO AGOSTINHO, MG",0935-0,"avenida do contorno num 8256 - lourdes 3011062 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0935-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
49,"SAVASSI, MG",0091-4,"avenida cristovao colombo num 373 - funcionarios 30140140 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0091-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
50,"SECULO, MG",0084-1,"rua carijos num 218 - centro 3012060 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0084-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
51,"TUPINAMBAS, MG",0081-7,"rua tupinambas num 462 - centro 3012070 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0081-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
52,"UFMG, MG",0821-4,"avenida antonio carlos num 6627 - pampulha 31270901 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 0821-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
53,"VENDA NOVA, MG",1022-7,"rua padre pedro pinto num 1580 - venda nova 31615310 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 1022-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
54,"VILA RICA, MG",2432-5,"avenida francisco sa num 1369 - gutierrez 3044121 - belo horizonte, mg tel: (31) 4003-1043 ag. numero: 2432-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
55,"BELO ORIENTE, MG",4392-3,"avenida brasil num 347 - centro 351950 - belo oriente, mg tel: (31) 4003-1043 ag. numero: 4392-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
56,"BETIM, MG",0892-3,"avenida presidente kubitschek num 229 - centro 32600225 - betim, mg tel: (31) 4003-1043 ag. numero: 0892-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
57,"CAPELA NOVA, MG",2464-3,"avenida governador valadares num 445 - centro 32600125 - betim, mg tel: (31) 4003-1043 ag. numero: 2464-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
58,"PORTAL DOS SERTOES, MG",2837-1,"avenida bandeirantes num 470 - filadelfia 32670248 - betim, mg tel: (31) 4003-1043 ag. numero: 2837-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
59,"SAO CAETANO, MG",3814-8,"avenida tapajos num 1640 - vila cristina 32675864 - betim, mg tel: (31) 4003-1043 ag. numero: 3814-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
60,"BICAS, MG",1488-5,"rua coronel souza num 22 - centro 366000 - bicas, mg tel: (32) 4003-1043 ag. numero: 1488-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
61,"BOA ESPERANCA, MG",0100-7,"rua presidente vargas num 925 - centro 371700 - boa esperanca, mg tel: (35) 4003-1043 ag. numero: 0100-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
62,"BOCAIUVA, MG",2779-0,"avenida jose brandao filho num 328 - centro 393900 - bocaiuva, mg tel: (38) 4003-1043 ag. numero: 2779-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
63,"BOM DESPACHO, MG",1060-0,"praca da matriz num 260 - centro 356000 - bom despacho, mg tel: (37) 4003-1043 ag. numero: 1060-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
64,"BOM SUCESSO, MG",1440-0,"praca da padroeira num 23 - centro 372200 - bom sucesso, mg tel: (35) 4003-1043 ag. numero: 1440-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
65,"BORDA DA MATA, MG",1685-3,"praca antonio megale num 42 - centro 375640 - borda da mata, mg tel: (35) 4003-1043 ag. numero: 1685-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
66,"BRUMADINHO, MG",2808-8,"avenida getulio vargas num 165 - centro 354600 - brumadinho, mg tel: (31) 4003-1043 ag. numero: 2808-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
67,"BURITIS DE MINAS, MG",4979-4,"rua ceara num 615 - centro 386600 - buritis, mg tel: (38) 4003-1043 ag. numero: 4979-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
68,"CAETE, MG",1441-9,"avenida joao pinheiro num 3531 - pedra branca 348000 - caete, mg tel: (31) 4003-1043 ag. numero: 1441-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
69,"CALDAS, MG",1442-7,"praca melo viana num 261 - centro 377800 - caldas, mg tel: (35) 4003-1043 ag. numero: 1442-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
70,"CAMANDUCAIA, MG",1470-2,"praca senador francisco escobar num 81 - centro 376500 - camanducaia, mg tel: (35) 4003-1043 ag. numero: 1470-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
71,"CAMBUI, MG",1061-8,"rua joao moreira salles num 190 - centro 376000 - cambui, mg tel: (35) 4003-1043 ag. numero: 1061-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
72,"CAMBUQUIRA, MG",0101-5,"avenida virgilio m. franco num 348 - centro 374200 - cambuquira, mg tel: (35) 4003-1043 ag. numero: 0101-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
73,"CAMPANHA, MG",0102-3,"rua doutor brandao num 54 - centro 374000 - campanha, mg tel: (35) 4003-1043 ag. numero: 0102-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
74,"CAMPESTRE, MG",1721-3,"avenida cel. jose custodio num 228 - centro 377300 - campestre, mg tel: (35) 4003-1043 ag. numero: 1721-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
75,"CAMPINA VERDE, MG",1062-6,"avenida onze num 687 - centro 382700 - campina verde, mg tel: (34) 4003-1043 ag. numero: 1062-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
76,"CAMPO BELO, MG",0103-1,"praca dos expedicionarios num 93 - centro 372700 - campo belo, mg tel: (35) 4003-1043 ag. numero: 0103-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
77,"CAMPOS ALTOS, MG",4535-7,"rua joao soares de souza num 295a - centro 389700 - campos altos, mg tel: (37) 4003-1043 ag. numero: 4535-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
78,"CAMPOS GERAIS, MG",1975-5,"rua coronel carlos caiafa num 528 - centro 371600 - campos gerais, mg tel: (35) 4003-1043 ag. numero: 1975-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
79,"CAPELINHA, MG",3378-2,"rua governador valadares num 165 - centro 396800 - capelinha, mg tel: (33) 4003-1043 ag. numero: 3378-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
80,"CAPINOPOLIS, MG",3651-0,"avenida vicente de paula fontoura num 89 - centro 383600 - capinopolis, mg tel: (34) 4003-1043 ag. numero: 3651-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
81,"CARANDAI, MG",0104-0,"praca capitao policarpo rocha num 80 - centro 362800 - carandai, mg tel: (32) 4003-1043 ag. numero: 0104-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
82,"CARANGOLA, MG",0105-8,"rua pedro de oliveira num 71/81 - centro 368000 - carangola, mg tel: (32) 4003-1043 ag. numero: 0105-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
83,"CARATINGA, MG",0106-6,"praca cesario alvim num 19 - centro 3530036 - caratinga, mg tel: (33) 4003-1043 ag. numero: 0106-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
84,"CARLOS CHAGAS, MG",0770-6,"avenida capitao joao pinto num 215 - centro 398640 - carlos chagas, mg tel: (33) 4003-1043 ag. numero: 0770-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
85,"CARMO DO CAJURU, MG",3748-6,"rua jose demetrio coelho num 510 - centro 355570 - carmo do cajuru, mg tel: (37) 4003-1043 ag. numero: 3748-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
86,"CARMO DO PARANAIBA, MG",1900-3,"avenida aristides de melo num 577 - centro 3884050 - carmo do paranaiba, mg tel: (34) 4003-1043 ag. numero: 1900-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
87,"CARMO DO RIO CLARO, MG",3401-0,"rua capitao pedro augusto correa num 55 - centro 371500 - carmo do rio claro, mg tel: (35) 4003-1043 ag. numero: 3401-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
88,"CARMOPOLIS DE MINAS, MG",3815-6,"rua padre francisco num 89 - centro 355340 - carmopolis de minas, mg tel: (37) 4003-1043 ag. numero: 3815-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
89,"CASSIA, MG",0107-4,"avenida dr luciano batista num 45 - centro 379800 - cassia, mg tel: (35) 4003-1043 ag. numero: 0107-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
90,"CATAGUASES, MG",0108-2,"praca governador valadares num 26 - centro 3677071 - cataguases, mg tel: (32) 4003-1043 ag. numero: 0108-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
91,"CAXAMBU, MG",0109-0,"avenida camilo soares num 645 - centro 374400 - caxambu, mg tel: (35) 4003-1043 ag. numero: 0109-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
92,"CLAUDIO, MG",0817-6,"avenida presidente tancredo neves num 135 - centro 355300 - claudio, mg tel: (37) 4003-1043 ag. numero: 0817-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
93,"CONCEICAO DAS ALAGOAS, MG",3538-6,"avenida brasil num 419 - centro 381200 - conceicao das alagoas, mg tel: (34) 4003-1043 ag. numero: 3538-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
94,"CONCEICAO DO MATO DENTRO, MG",2277-2,"rua bias fortes num 106 - centro 358600 - conceicao do mato dentro, mg tel: (31) 4003-1043 ag. numero: 2277-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
95,"CONCEICAO DO RIO VERDE, MG",0110-4,"rua olimpio eufrasio filho num 6 - centro 374300 - conceicao do rio verde, mg tel: (35) 4003-1043 ag. numero: 0110-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
96,"CONGONHAS, MG",1044-8,"praca doutor mario rodrigues pereira num 58 - centro 3641069 - congonhas, mg tel: (31) 4003-1043 ag. numero: 1044-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
97,"CONQUISTA, MG",1686-1,"praca cel. tancredo franca num 5 - centro 381950 - conquista, mg tel: (34) 4003-1043 ag. numero: 1686-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
98,"CONSELHEIRO LAFAIETE, MG",0127-9,"rua melo viana num 65 - centro 3640070 - conselheiro lafaiete, mg tel: (31) 4003-1043 ag. numero: 0127-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
99,"CONSELHEIRO PENA, MG",0706-4,"avenida jose mauricio de vasconcellos num 1673 - centro 352400 - conselheiro pena, mg tel: (33) 4003-1043 ag. numero: 0706-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
100,"CONTAGEM, MG",0893-1,"avenida joao cesar de oliveira num 1010 - eldorado 323100 - contagem, mg tel: (31) 4003-1043 ag. numero: 0893-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
101,"JARDIM INDUSTRIAL, MG",1639-0,"rua tiradentes num 2426 - industrial 3223020 - contagem, mg tel: (31) 4003-1043 ag. numero: 1639-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
102,"RESSACA, MG",3797-4,"rua diamante num 1600 - sao joaquim 321130 - contagem, mg tel: (31) 4003-1043 ag. numero: 3797-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
103,"VALE VERDE, MG",1529-6,"praca silviano brandao num 55 - centro 32017680 - contagem, mg tel: (31) 4003-1043 ag. numero: 1529-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
104,"CORINTO, MG",0629-7,"rua antonio vieira machado num 95 - centro 392000 - corinto, mg tel: (38) 4003-1043 ag. numero: 0629-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
105,"COROMANDEL, MG",1697-7,"avenida municipal num 807 - centro 385500 - coromandel, mg tel: (34) 4003-1043 ag. numero: 1697-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
106,"CORONEL FABRICIANO, MG",0894-0,"rua jose cornelio num 131 - centro 351708 - coronel fabriciano, mg tel: (31) 4003-1043 ag. numero: 0894-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
107,"MELO VIANA, MG",3704-4,"avenida doutor jose de magalhaes pinto num 1653 - giovanini 3517097 - coronel fabriciano, mg tel: (31) 4003-1043 ag. numero: 3704-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
108,"CRUZILIA, MG",0603-3,"rua coronel cornelio maciel num 45 - centro 374450 - cruzilia, mg tel: (35) 4003-1043 ag. numero: 0603-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
109,"CURVELO, MG",0111-2,"praca benedito valadares num 11 - centro 35790207 - curvelo, mg tel: (38) 4003-1043 ag. numero: 0111-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
110,"DIAMANTINA, MG",0112-0,"rua direita num 86 - centro 391000 - diamantina, mg tel: (38) 4003-1043 ag. numero: 0112-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
111,"DIVINO, MG",4401-6,"rua coronel laurindo luiz viana num 54 - centro 368200 - divino, mg tel: (32) 4003-1043 ag. numero: 4401-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
112,"CANDIDES, MG",3221-2,"avenida sete de setembro num 794 - centro 3550011 - divinopolis, mg tel: (37) 4003-1043 ag. numero: 3221-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
113,"DIVINOPOLIS, MG",0113-9,"avenida primeiro de junho num 325 - centro 355003 - divinopolis, mg tel: (37) 4003-1043 ag. numero: 0113-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
114,"POLO DA MODA, MG",2986-6,"rua pernambuco num 1210 - centro 355008 - divinopolis, mg tel: (37) 4003-1043 ag. numero: 2986-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
115,"DORES DO INDAIA, MG",1063-4,"avenida francisco campos num 767 - centro 356100 - dores do indaia, mg tel: (37) 4003-1043 ag. numero: 1063-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
116,"ELOI MENDES, MG",0114-7,"rua cel. horacio alves pereira num 225 - centro 371100 - eloi mendes, mg tel: (35) 4003-1043 ag. numero: 0114-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
117,"ESMERALDAS, MG",2782-0,"rua senador melo viana num 158 - centro 3280098 - esmeraldas, mg tel: (31) 4003-1043 ag. numero: 2782-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
118,"ESPERA FELIZ, MG",3517-3,"praca dr. jose augusto num 59 - centro 368300 - espera feliz, mg tel: (32) 4003-1043 ag. numero: 3517-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
119,"ESPINOSA, MG",4784-8,"rua getulio vargas num 175 - jardim oriente 395100 - espinosa, mg tel: (38) 4003-1043 ag. numero: 4784-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
120,"EXTREMA, MG",2715-4,"rua coronel antonio cardoso pinto num 102 - centro 3764044 - extrema, mg tel: (35) 4003-1043 ag. numero: 2715-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
121,"FORMIGA, MG",0115-5,"rua bernardes de faria num 163 - centro 3557024 - formiga, mg tel: (37) 4003-1043 ag. numero: 0115-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
122,"FRANCISCO SA DE MINAS, MG",1726-4,"avenida jk num 456 - joao goncalves 395800 - francisco sa, mg tel: (38) 4003-1043 ag. numero: 1726-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
123,"FRONTEIRA, MG",4346-0,"avenida minas gerais num 90 - centro 382300 - fronteira, mg tel: (34) 4003-1043 ag. numero: 4346-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
124,"FRUTAL, MG",0934-2,"praca dr. alcides p. gomes num 77 - centro 382000 - frutal, mg tel: (34) 4003-1043 ag. numero: 0934-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
125,"BAIRRO SANTA RITA, MG",3234-4,"avenida wenceslau braz num 1468 - santa rita 35040570 - governador valadares, mg tel: (33) 4003-1043 ag. numero: 3234-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
126,"GOVERNADOR VALADARES, MG",0116-3,"praca serra lima num 637 - centro 35010250 - governador valadares, mg tel: (33) 4003-1043 ag. numero: 0116-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
127,"IBITURUNA, MG",1642-0,"rua israel pinheiro num 3295 - centro 35010131 - governador valadares, mg tel: (33) 4003-1043 ag. numero: 1642-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
128,"GUANHAES, MG",0707-2,"avenida milton campos num 2579 - centro 397400 - guanhaes, mg tel: (33) 4003-1043 ag. numero: 0707-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
129,"GUARANESIA, MG",3751-6,"rua prudente de morais num 313 - centro 378100 - guaranesia, mg tel: (35) 4003-1043 ag. numero: 3751-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
130,"GUAXUPE, MG",0117-1,"avenida doutor joao carlos num 55 - centro 3783032 - guaxupe, mg tel: (35) 4003-1043 ag. numero: 0117-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
131,"IBIA, MG",0708-0,"avenida jose cambraia num 46 - centro 389500 - ibia, mg tel: (34) 4003-1043 ag. numero: 0708-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
