,Nome,CGC,Endereco
20,"CANTAGALO, RJ",0970-9,"rua chapot prevost num 158 - centro 285000 - cantagalo, rj tel: (22) 4003-1043 ag. numero: 0970-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
21,"CORDEIRO, RJ",3174-7,"rua joao beliene salgado num 22 - centro 285400 - cordeiro, rj tel: (22) 4003-1043 ag. numero: 3174-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
22,"25 DE AGOSTO, RJ",1334-0,"praca roberto silveira num 24 - centro 250705 - duque de caxias, rj tel: (21) 4003-1043 ag. numero: 1334-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
23,"BRIGADEIRO LIMA E SILVA, RJ",4118-1,"avenida brigadeiro lima e silva num 1591 - centro 25071181 - duque de caxias, rj tel: (21) 4003-1043 ag. numero: 4118-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
24,"DUQUE DE CAXIAS, RJ",0181-3,"rua jose de alvarenga num 271 - centro 25020140 - duque de caxias, rj tel: (21) 4003-1043 ag. numero: 0181-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
25,"GRANDE RIO, RJ",2538-0,"avenida presidente vargas num 300 - centro 25070330 - duque de caxias, rj tel: (21) 4003-1043 ag. numero: 2538-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
26,"NILO PECANHA, RJ",4162-9,"avenida nilo pecanha num 249 - centro 25010145 - duque de caxias, rj tel: (21) 4003-1043 ag. numero: 4162-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
27,"SANTA CRUZ DA SERRA, RJ",4881-0,"rua alagoas num 26 f - chacaras arcampo 2525570 - duque de caxias, rj tel: (21) 4003-1043 ag. numero: 4881-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
28,"GUAPIMIRIM, RJ",4854-2,"avenida dedo de deus num 380 - centro 25946244 - guapimirim, rj tel: (21) 4003-1043 ag. numero: 4854-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
29,"ITABORAI, RJ",0811-7,"praca roberto pereira dos santos num 63 - centro 24800130 - itaborai, rj tel: (21) 4003-1043 ag. numero: 0811-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
30,"MANILHA, RJ",4376-1,"rua jose joaquim de oliveira num 235 - centro (manilha) 24855296 - itaborai, rj tel: (21) 4003-1043 ag. numero: 4376-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
31,"ITAGUAI, RJ",0909-1,"rua doutor curvelo cavalcanti num 499 - centro 23815291 - itaguai, rj tel: (21) 4003-1043 ag. numero: 0909-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
32,"ITALVA, RJ",4642-6,"rua olivia de faria num 161 - centro 282500 - italva, rj tel: (22) 4003-1043 ag. numero: 4642-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
33,"ITAOCARA, RJ",1245-9,"avenida roberto silveira num 50 - centro 285700 - itaocara, rj tel: (22) 4003-1043 ag. numero: 1245-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
34,"ITAPERUNA, RJ",0182-1,"avenida cardoso moreira num 236 - centro 283000 - itaperuna, rj tel: (22) 4003-1043 ag. numero: 0182-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
35,"ITATIAIA, RJ",2810-0,"rua dona apolinaria num 216 - centro 275800 - itatiaia, rj tel: (24) 4003-1043 ag. numero: 2810-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
36,"JAPERI, RJ",2131-8,"estrada santo antonio num 385 - engenheiro pedreira 26455280 - japeri, rj tel: (21) 4003-1043 ag. numero: 2131-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
37,"CAVALEIROS, RJ",3391-0,"rua dolores carvalho vasconcelos num 193 - gloria 27937600 - macae, rj tel: (22) 4003-1043 ag. numero: 3391-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
38,"MACAE, RJ",0184-8,"avenida rui barbosa num 790 - centro 27910362 - macae, rj tel: (22) 4003-1043 ag. numero: 0184-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
39,"PARQUE VALENTINA MIRANDA, RJ",4659-0,"avenida rui barbosa num 1895 - imbetiba 2791511 - macae, rj tel: (22) 4003-1043 ag. numero: 4659-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
40,"PETROBRAS IMBETIBA, RJ",4022-3,"avenida elias agostinho num 665 - imbetiba 27913350 - macae, rj tel: (22) 4003-1043 ag. numero: 4022-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
41,"MAGE, RJ",0183-0,"rua doutor siqueira num 342 - centro 2590094 - mage, rj tel: (21) 4003-1043 ag. numero: 0183-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
42,"MARICA, RJ",1244-0,"avenida roberto da silveira num 140 - centro 24900445 - marica, rj tel: (21) 4003-1043 ag. numero: 1244-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
43,"VILA DE SANTA MARIA, RJ",4724-4,"praca conselheiro macedo soares num 84 e 92 - centro 249015 - marica, rj tel: (21) 4003-1043 ag. numero: 4724-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
44,"MENDES, RJ",2068-0,"rua cap. francisco cabral num 127 - centro 267000 - mendes, rj tel: (24) 4003-1043 ag. numero: 2068-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
45,"MESQUITA, RJ",3406-1,"rua goias num 92 - centro 2655360 - mesquita, rj tel: (21) 4003-1043 ag. numero: 3406-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
46,"MIGUEL PEREIRA, RJ",0992-0,"rua machado bittencourt num 110 - centro 269000 - miguel pereira, rj tel: (24) 4003-1043 ag. numero: 0992-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
47,"MIRACEMA, RJ",1335-8,"praca getulio vargas num 31 - centro 284600 - miracema, rj tel: (22) 4003-1043 ag. numero: 1335-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
48,"NATIVIDADE, RJ",1246-7,"avenida amaral peixoto num 3 - centro 283800 - natividade, rj tel: (22) 4003-1043 ag. numero: 1246-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
49,"BEIJA-FLOR, RJ",4145-9,"avenida getulio vargas num 1706 - centro 2652522 - nilopolis, rj tel: (21) 4003-1043 ag. numero: 4145-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
50,"NILOPOLIS, RJ",0187-2,"avenida getulio vargas num 1411/1417 - centro 2652523 - nilopolis, rj tel: (21) 4003-1043 ag. numero: 0187-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
51,"FONSECA, RJ",1337-4,"alameda sao boa ventura num 904 - fonseca 24120191 - niteroi, rj tel: (21) 4003-1043 ag. numero: 1337-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
52,"ICARAI, RJ",0175-9,"rua gaviao peixoto num 226 - icarai 24230102 - niteroi, rj tel: (21) 4003-1043 ag. numero: 0175-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
53,"ITAIPU, RJ",4448-2,"estrada francisco da cruz nunes num 9107 - itaipu 243400 - niteroi, rj tel: (21) 4003-1043 ag. numero: 4448-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
54,"JOSE CLEMENTE, RJ",1507-5,"rua jose clemente num 78 - centro 24020105 - niteroi, rj tel: (21) 4003-1043 ag. numero: 1507-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
55,"LARGO DO MARRAO, RJ",2180-6,"rua lopes trovao num 500 - icarai 2422070 - niteroi, rj tel: (21) 4003-1043 ag. numero: 2180-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
56,"MIGUEL DE FRIAS, RJ",2933-5,"rua miguel de frias num 88 - icarai 242202 - niteroi, rj tel: (21) 4003-1043 ag. numero: 2933-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
57,"NITEROI, RJ",0174-0,"avenida ernani do amaral peixoto num 335 - centro 2402072 - niteroi, rj tel: (21) 4003-1043 ag. numero: 0174-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
58,"PIRATININGA, RJ",3022-8,"avenida professor ernani faria alves num 150 - piratininga 24350680 - niteroi, rj tel: (21) 4003-1043 ag. numero: 3022-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
59,"SAO FRANCISCO, RJ",1247-5,"avenida rui barbosa num 144 - sao francisco 24360440 - niteroi, rj tel: (21) 4003-1043 ag. numero: 1247-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
60,"SHOPPING BAY MARKET, RJ",3092-9,"rua visconde do rio branco num 360 - centro 240202 - niteroi, rj tel: (21) 4003-1043 ag. numero: 3092-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
61,"CONSELHEIRO PAULINO, RJ",4119-0,"avenida governador roberto silveira num 3780 - conselheiro paulino 286350 - nova friburgo, rj tel: (22) 4003-1043 ag. numero: 4119-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
62,"NOVA FRIBURGO, RJ",0186-4,"avenida alberto braune num 9 - centro 286131 - nova friburgo, rj tel: (22) 4003-1043 ag. numero: 0186-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
63,"OLARIA, RJ",1623-3,"avenida julio antonio thurler num 260 - olaria 286200 - nova friburgo, rj tel: (22) 4003-1043 ag. numero: 1623-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
64,"COMENDADOR SOARES, RJ",4755-4,"rua tomas fonseca num 259 - comendador soares 26280375 - nova iguacu, rj tel: (21) 4003-1043 ag. numero: 4755-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
65,"ESTACAO NOVA IGUACU, RJ",3597-1,"praca liberdade num 98 - centro 2621050 - nova iguacu, rj tel: (21) 4003-1043 ag. numero: 3597-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
66,"IGUACUANO, RJ",1620-9,"avenida nilo pecanha num 534 - centro 26215512 - nova iguacu, rj tel: (21) 4003-1043 ag. numero: 1620-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
67,"MARIO GUIMARAES, RJ",1619-5,"rua quintino bocaiuva num 37 - centro 26210150 - nova iguacu, rj tel: (21) 4003-1043 ag. numero: 1619-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
68,"NOVA IGUACU, RJ",0185-6,"avenida marechal floriano peixoto num 2370 - centro 2622060 - nova iguacu, rj tel: (21) 4003-1043 ag. numero: 0185-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
69,"PARACAMBI, RJ",1336-6,"rua francisco dias raposo num 43 - centro 266000 - paracambi, rj tel: (21) 4003-1043 ag. numero: 1336-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
70,"PARAIBA DO SUL, RJ",0925-3,"avenida barao do piabanha num 107 - centro 258500 - paraiba do sul, rj tel: (24) 4003-1043 ag. numero: 0925-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
71,"PARATY, RJ",2914-9,"rua roberto da silveira num 50-a - centro 239700 - paraty, rj tel: (24) 4003-1043 ag. numero: 2914-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
72,"PATY DO ALFERES, RJ",4871-2,"rua manoel bernardes num 455 - centro 269500 - paty do alferes, rj tel: (24) 4003-1043 ag. numero: 4871-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
73,"IMPERIAL, RJ",1651-9,"rua do imperador num 149/153 - centro 256202 - petropolis, rj tel: (24) 4003-1043 ag. numero: 1651-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
74,"ITAIPAVA, RJ",4146-7,"estrada uniao e industria num 10040 - itaipava 25730735 - petropolis, rj tel: (24) 4003-1043 ag. numero: 4146-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
75,"PETROPOLIS, RJ",0188-0,"rua do imperador num 745 - centro 256203 - petropolis, rj tel: (24) 4003-1043 ag. numero: 0188-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
76,"PINHEIRAL, RJ",2171-7,"avenida nilton penna botelho num 400 - sao jorge 271970 - pinheiral, rj tel: (24) 4003-1043 ag. numero: 2171-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
77,"PIRAI, RJ",2077-0,"rua barao pirai num 270 - centro 271750 - pirai, rj tel: (24) 4003-1043 ag. numero: 2077-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
78,"PORCIUNCULA, RJ",0656-4,"praca antonio amado num 172 - centro 283900 - porciuncula, rj tel: (22) 4003-1043 ag. numero: 0656-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
79,"PORTO REAL, RJ",2207-1,"avenida a num 126 - nova colonia 275700 - porto real, rj tel: (24) 4003-1043 ag. numero: 2207-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
80,"QUATIS, RJ",4977-8,"rua avelino batista soares num 90 - centro 27410180 - quatis, rj tel: (24) 4003-1043 ag. numero: 4977-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
81,"QUEIMADOS, RJ",4097-5,"rua vereador marinho hemeterio oliveira num 80 - centro 26325282 - queimados, rj tel: (21) 4003-1043 ag. numero: 4097-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
82,"QUISSAMA, RJ",4660-4,"rua barao de vila franca num 362 - centro 287350 - quissama, rj tel: (22) 4003-1043 ag. numero: 4660-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
83,"MANEJO, RJ",3551-3,"rua tenente-coronel adalberto mendes num 417 - manejo 27520301 - resende, rj tel: (24) 4003-1043 ag. numero: 3551-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
84,"RESENDE, RJ",0189-9,"avenida albino de almeida num 26 - campos eliseos 2754270 - resende, rj tel: (24) 4003-1043 ag. numero: 0189-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
85,"RIO BONITO, RJ",0769-2,"rua getulio vargas num 86 - centro 288000 - rio bonito, rj tel: (21) 4003-1043 ag. numero: 0769-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
86,"JARDIM MARILEIA, RJ",4403-2,"avenida jane maria martins figueira num 1531 - jardim marilea 2889613 - rio das ostras, rj tel: (22) 4003-1043 ag. numero: 4403-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
87,"RIO DAS OSTRAS, RJ",2738-3,"avenida amaral peixoto num 4170 - balneario remanso 2889395 - rio das ostras, rj tel: (22) 4003-1043 ag. numero: 2738-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
88,"14 BIS, RJ",0231-3,"avenida marechal camara num 160 - centro 2002080 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0231-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
89,"AEROPORTO SANTOS DUMONT, RJ",1648-9,"avenida marechal camara num 160 a - centro 2002080 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1648-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
90,"ALMIRANTE GONCALVES, RJ",3023-6,"rua almirante goncalves num 35 a - copacabana 2206040 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3023-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
91,"ALMIRANTE TAMANDARE, RJ",0199-6,"avenida rio branco num 1 - centro 200903 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0199-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
92,"AMERICAS, RJ",2913-0,"avenida das americas num 1500 - barra da tijuca 22640100 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2913-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
93,"ANDARAI, RJ",0201-1,"rua barao de mesquita num 906 - tijuca 205404 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0201-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
94,"ANIL, RJ",4648-5,"estrada de jacarepagua num 6834 - anil 2275334 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4648-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
95,"ARMANDO LOMBARDI, RJ",2954-8,"avenida armando lombardi num 400 - barra da tijuca 226400 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2954-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
96,"ATAULFO DE PAIVA, RJ",3131-3,"avenida ataulfo de paiva num 255 - leblon 2244032 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3131-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
97,"AV ABELARDO BUENO, RJ",4748-1,"avenida embaixador abelardo bueno num 3500 - barra da tijuca 2277540 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4748-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
98,"AV CHILE, RJ",1624-1,"avenida republica do chile num 230 - centro 20031170 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1624-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
99,"AV LOBO JUNIOR, RJ",0207-0,"avenida lobo junior num 1603 - penha circular 21020123 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0207-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
100,"AV MINISTRO ARI FRANCO, RJ",4415-6,"avenida ministro ari franco num 385 - bangu 218625 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4415-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
101,"AV RIO BRANCO, RJ",4144-0,"rua buenos aires num 56 - centro 2007022 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4144-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
102,"BANDEIRA, RJ",0202-0,"rua mariz e barros num 79 - praca da bandeira 202705 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0202-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
103,"BANGU, RJ",0203-8,"avenida conego de vasconcelos num 367 - bangu 2181011 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0203-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
104,"BARAO DE MESQUITA, RJ",2904-1,"rua barao de mesquita num 238 - tijuca 205403 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2904-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
105,"BARATA RIBEIRO, RJ",0204-6,"rua siqueira campos num 34 - copacabana 2203172 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0204-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
106,"BARRA DA TIJUCA, RJ",1344-7,"avenida das americas num 3959 - barra da tijuca 226313 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1344-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
107,"BONSUCESSO, RJ",0205-4,"rua cardoso de morais num 106 - bonsucesso 210320 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0205-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
108,"BOTAFOGO, RJ",0206-2,"rua voluntarios da patria num 246 - botafogo 2227014 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0206-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
109,"CACUIA, RJ",4543-8,"estrada do galeao num 853 - jardim guanabara 21931383 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4543-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
110,"CARDEAL ARCOVERDE, RJ",2912-2,"rua barata ribeiro num 222 - copacabana 220402 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2912-2 horario de atendimento: 10:00 as 16:00 (dias uteis)"
111,"CASCADURA, RJ",0210-0,"avenida ernani cardoso num 49/51 - cascadura 21310310 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0210-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
112,"CATETE, RJ",1327-7,"rua do catete num 228 - catete 222201 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1327-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
113,"CINELANDIA, RJ",3225-5,"praca floriano num 31 - lj a,b,c - centro 2003150 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3225-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
114,"COCOTA, RJ",0216-0,"praia da olaria num 33 - cocota 21910295 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0216-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
115,"CONDE DE BONFIM, RJ",1026-0,"rua conde de bonfim num 604 - tijuca 2052055 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1026-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
116,"COPACABANA, RJ",0212-7,"avenida nossa senhora de copacabana num 861 - copacabana 220601 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0212-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
117,"CURICICA, RJ",1037-5,"estrada dos bandeirantes num 4984 - jacarepagua 22775110 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1037-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
118,"DEODORO, RJ",0213-5,"avenida duque de caxias num 431 - deodoro 21615220 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0213-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
119,"DIAS DA CRUZ, RJ",2264-0,"rua dias da cruz num 535 - meier 2072011 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 2264-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
120,"DOWNTOWN, RJ",3024-4,"avenida das americas num 500 - barra da tijuca 22640100 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 3024-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
121,"ESTRADA DO GALEAO, RJ",0215-1,"rua cambauba num 6 - jardim guanabara 219405 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0215-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
122,"ESTRADA DOS BANDEIRANTES, RJ",4750-3,"estrada dos bandeirantes num 8591 - jacarepagua 22783115 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4750-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
123,"ESTRADA DOS TRES RIOS, RJ",4402-4,"estrada dos tres rios num 721 - jacarepagua 227454 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4402-4 horario de atendimento: 10:00 as 16:00 (dias uteis)"
124,"FREGUESIA, RJ",4063-0,"estrada de jacarepagua num 7845 - jacarepagua 2275333 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 4063-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
125,"FREIRE ALEMAO, RJ",0208-9,"avenida cesario de melo num 3166 - campo grande 23050102 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0208-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
126,"GAVEA, RJ",1339-0,"rua marques de sao vicente num 52 - gavea 2245140 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 1339-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
127,"GUANABARA, RJ",0209-7,"avenida rio branco num 39 - centro 200903 - rio de janeiro, rj tel: (21) 4003-1043 ag. numero: 0209-7 horario de atendimento: 10:00 as 16:00 (dias uteis)"
