,Nome Fantasia,Razao Social,Endereco,CNPJ,Agencia Vinculada,E-mail,Atividade
96,DESATA ASSESSORIA, WPJ ASSESSORIA TECNICA,"RUA CEL GOMES MACHADO 38 SL 402,  - CENTRO
                                        24020-068.  - RJ
                                        (21) 988758907", 20.299.823/0001-77, 175, PRISCILLA.GOMIDE@DESATAASSESSORIA.COM.BR,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
97,LGB, LGB CONSULTORIA IMOBILIÁRIA LTDA ME,"AV ALMIRANTE TAMANDARE 40 / SALA 205,  - PIRATININGA
                                        24340-380.  - RJ
                                        (21) 41270433", 11.522.322/0001-17, 3022, MARCOSLAGATTA@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
98,LPIMENTEL CONSULTORIA, LUCIANA PIMENTEL NOGUEIRA 07837882741,"AV ERNANI DO AMARAL PEIXOTO, 334 - centro
                                        24009-900. NITEROI - RJ
                                        (21) 26130587", 25.354.151/0001-79, 174, LPIMENTELCONSULTORIA@OUTLOOK.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
99,MARIA EMILIA NEWMAN DE QUEIROZ, MARIA EMILIA N DE Q SERV DE DESP LTDA ME,"R 4 Número 226 Parte - Argeu Fazendinha,  - itaipu
                                        24340-230.  - RJ
                                        (21) 26081946", 12.619.432/0001-64, 3022, EMILIANEWMAN@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
100,MODULO ASSESSORIA IMOBILIARIA, J T ASSESSORIA IMOBILIARIA E GESTAO DE N,"R Dr. Borman 23 salas 709 e 710,  - centro
                                        24020-320.  - RJ
                                        (21) 27199493", 11.300.243/0001-61, 1247, JULIANA@MODULOASSESSORIA.COM.BR,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
101,R4 ASSESSORIA FINANCEIRA LTDA, R4 ASSESSORIA FINANCEIRA LTDA,"COMANDANTE MIGUELOTE VIANA, 00000 - ICARAI
                                        24220-195. NITEROI - RJ
                                        (21) 981399349", 29.696.265/0001-58, 1507, RODNEYLACERDA2018@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
102,SEF Consultoria Imobiliaria e de Credito, SERGIO L FERREIRA ME,"Ernani do Amaral Peixoto, 334 - Centro
                                        24020-076. NITEROI - RJ
                                        (21) 36191315", 12.511.661/0001-60, 2933, CONTATO@SLFCONSULTORIA.COM.BR,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- CONTA POUPANCA CAIXA FACIL- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
103,SPIN INOVACOES IMOBILIARIAS, SPIN INOVACOES IMOBILIARIAS LTDA,"R Miguel de Frias 77, SL 1901, 77 - Icaraí
                                        24220-008. NITEROI - RJ
                                        (21) 979879985", 28.651.092/0001-99, 2933, credispin@spinimoveis.com,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
104,VANDA RANGEL ASSESSORIA IMOBILIARIA, VANDA RANGEL ASSESSORIA IMOBILIARIA LTDA,"AV ERNANI DO AMARAL PEIXOTO, 479 sala 303,  - CENTRO
                                        24020-072.  - RJ
                                        (21) 27170047", 14.709.634/0001-22, 175, VRCORRESPONDENTECAIXA@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
105,VLF IMOBILIARIA, VLF NEGOCIOS LTDA EPP,"Av Ernani do Amaral Peixoto 207 sala 1309,  - Centro
                                        24020-071.  - RJ
                                        (21) 36461242", 20.541.383/0001-12, 2180, VLFNEGOCIOS@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
106,ACL ASSESSORIA E SERVICOS, AA-ABC IMOVEIS ASSESSORIA E SERVICOS LTDA,"AV ERNANI DO AMARAL PEIXOTO 300 SALA 706, 00000 - CENTRO
                                        24020-076. NITEROI - RJ
                                        (21) 964462395", 50.868.891/0001-70, 3092, ADAILTONSOUZAIMOVEIS@HOTMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
107,AGILIZA TZ ASSESSORIA EIRELI, AGILIZA ASSESSORIA EIRELI,"RUA DA CONCEICAO, 125, SALA 410, 125 - CENTRO
                                        24020-085. NITEROI - RJ
                                        (21) 995789596", 34.381.072/0001-48, 2933, MARCELOAZEDIAS@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
108,ALEKS NEGOCIAL, ALEKS NEGOCIAL SERVICOS DE APOIO ADMINISTRATIVO EIRELI,"MAESTRO EDUARDO SOUTO 154, 00000 - PIRATININGA
                                        24358-250. NITEROI - RJ
                                        (21) 37141299", 43.365.244/0001-80, 3022, ALEKS.NEGOCIAL@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
109,BASIP CONSULTORIA, BASIP CONSULTORIA ADMINISTRATIVA LTDA,"MINISTRO OTAVIO KELLY 452, 00000 - ICARAI
                                        24220-301. NITEROI - RJ
                                        (21) 964432315", 43.575.033/0001-72, 1337, FERNANDABSPIMENTEL@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
110,CONCRETIZA PREST DE SERV E COM DE ROUPAS E ART LTDA, CONCRETIZA PREST DE SERV E COM DE ROUPAS E ART LTDA,"DA CONCEICAO, 00000 - CENTRO
                                        24020-085. NITEROI - RJ
                                        (2) 127123538", 38.050.331/0001-09, 175, GIGIDUTRA47@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- CONTA POUPANCA CAIXA FACIL- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
111,CONSTRURIO ENGENHARIA E AVALIACAO, ALLURECRED ENGENHARIA LTDA,"R LUIZ LEOPOLDO FERNANDES PINHEIRO 551 SALA 505, 00000 - CENTRO
                                        24030-127. NITEROI - RJ
                                        (21) 989255051", 41.064.798/0001-12, 4143, LORENAP_ENG@HOTMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
112,CONTROL B HOME LTDA, CONTROL B HOME LTDA,"EST FRANCISCO DA CRUZ NUNES 7288 SALA 204 PARTE, 00000 - ITAIPU
                                        24340-000. NITEROI - RJ
                                        (2) 126096965", 40.091.994/0001-13, 4724, CONTROLBHOME@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
113,LAMEIRA S CONSULTORIA  TREINAMENTO, LAMEIRA S CONSULTORIA  TREINAMENTO,"R EVALDO GONCALVES 285 QUADRA02 LOTE 184, 00000 - ITAIPU
                                        24335-060. NITEROI - RJ
                                        (21) 987831115", 34.182.266/0001-14, 199, CEF.ATENDIMENTO@ALMADACAPITAL.COM.BR,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
114,LM CONSULTORIA E FINANCIAMENTO IMOBILIARIO LTDA, LM CONSULTORIA E FINANCIAMENTO IMOBILIARIO LTDA,"MAESTRO FELICIO TOLEDO 500 SALA 404, 00000 - CENTRO
                                        24030-107. NITEROI - RJ
                                        (21) 995947451", 53.386.745/0001-05, 174, LMCONSULTORIACX@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
115,MAIS FACIL SOLUCOES EMPRESARIAIS LTDA, MAIS FACIL SOLUCOES EMPRESARIAIS LTDA,"EST FRANCISCO DA CRUZ  8032 LOJA 206, 8032 - Itaipu
                                        24340-000. NITEROI - RJ
                                        (21) 964118435", 32.906.598/0001-79, 3307, MAISFACIL.CORRESPONDENTE@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
116,R L INFINITY SOLUCOES FINANCEIRAS, R L INFINITY SOLUCOES FINANCEIRAS LTDA,"R DA CONCEICAO 95 SL 1808, 00000 - CENTRO
                                        24020-085. NITEROI - RJ
                                        (21) 992304565", 55.024.482/0001-01, 1507, rlinfinitysolucoes@gmail.com,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
117,56009682 STELLA DE PAIVA MOREIRA, 56009682 STELLA DE PAIVA MOREIRA,"R SOUZA CARDOSO 125 LOJA 02, 00000 - CENTRO
                                        28625-520. NOVA FRIBURGO - RJ
                                        (22) 999140855", 56.009.682/0001-58, 4119, STELLAPAIVACORRESPONDENTE@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
118,BOMBOM BAZAR, M G DA ROCHA,"RUA ANTONIO LUGON 34,  - AMPARO
                                        28605-540.  - RJ
                                        (22) 25411245", 68.813.419/0001-04, 186, MARCGR@BOL.COM.BR,"Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
119,FERNANDA BREDER IMOVEIS, BREDER IMOVEIS LTDA,"DR ERNESTO BASILIO, 64 - CENTRO
                                        28610-120. NOVA FRIBURGO - RJ
                                        (22) 999612420", 20.872.325/0001-71, 4119, BREDERIMOVEIS@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
120,MALU," MAIERICKA CALCADOS, ACESSORIOS E ARMARINHO LTDA","AV WALTER MACHADO THEDIN 4646, 4646 - MURY
                                        28615-315. NOVA FRIBURGO - RJ
                                        (22) 25421615", 07.196.846/0001-98, 186, MAIERICKA@HOTMAIL.COM,"Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
121,O S ASSESSORIA, ROBERTA DE OLIVEIRA GOMES SOUSA,"AVENIDA JULIO ANTONIO THURLER 155 SL202, 155 - OLARIA
                                        28620-000. NOVA FRIBURGO - RJ
                                        (22) 999572034", 31.764.317/0001-28, 1623, ROBERTA_GREG@HOTMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
122,SEMPRE - SISTEMA EMPREENDEDOR CULTURAL, ADRIANA DA ROCHA SILVA DUTRA,"RUA DUQUE DE CAXIAS 1 SL 54,  - CENTRO
                                        28613-060.  - RJ
                                        (22) 981275494", 14.251.160/0001-18, 186, SEMPRECAIXAAQUI@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
123,47656943 CARLOS HENRIQUE SALDANHA TEIXEIRA, 47656943 CARLOS HENRIQUE SALDANHA TEIXEIRA,"AV GOV ROBERTO SILVEIRA 470 SL 404 ANEXO 1, 00000 - CENTRO
                                        26210-210. NOVA IGUACU - RJ
                                        (21) 964615212", 47.656.943/0001-30, 3238, MGIMOVEIS.2014@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
124,A M SOARES, D AVILA MATERIAIS DE INFORMATICA LTDA ME,"AV MARECHAL FLORIANO PEIXOTO, 2397, 2397 - CENTRO
                                        26220-060. NOVA IGUACU - RJ
                                        (21) 970284708", 20.753.767/0002-80, 185, CCA.DAVILAA@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- CONTA POUPANCA CAIXA FACIL- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
125,CREDITO E RESIDENCIA CORRESPONDENTE BANCARIO LTDA, CREDITO E RESIDENCIA CORRESPONDENTE BANCARIO LTDA,"R IRACEMA SOARES PEREIRA JUNQUEIRA 99 LOJA 15 LOTE 45, 99 - CENTRO
                                        26210-260. NOVA IGUACU - RJ
                                        (21) 26082095", 18.676.190/0001-27, 1327, GENFREITAS@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
126,CREDMANIA, CREDFACIL CONSULTORIA FINANCEIRA E IMOBILIARIA LTDA,"GOVERNADOR ROBERTO SILVEIRA 470 SALA 230, 00000 - CENTRO
                                        26210-210. NOVA IGUACU - RJ
                                        (21) 982242492", 06.022.270/0001-80, 210, LUANANOEL@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
127,D&G REPASSE IMOBILIARIO, D&G REPASSE IMOBILIARIO LTDA,"R DOUTOR BARROS JUNIOR 281, NOVA IGUACU, RJ, 281 - CENTRO
                                        26215-072. NOVA IGUACU - RJ
                                        (21) 968708067", 50.435.287/0001-50, 185, DOUGLASUPERVISOR@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
128,DREAMS CREDITO, DREAMS BROKERS CORRETAGEM DE IMOVEIS LTDA,"AV DOUTOR LUIZ GUIMARAES 269 SLJ 10, 00000 - CENTRO
                                        26210-022. NOVA IGUACU - RJ
                                        (2) 126635615", 38.387.636/0001-00, 4095, THEDREAMSBROKERS@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
129,FABIO REPRESENTACOES, F R ANDRADE CORRESPONDENTE BANCARIO,"RUA PADRE VIEIRA 277 CASA 1, 00000 - VILA SAO LUIS
                                        26012-200. NOVA IGUACU - RJ
                                        (21) 980181615", 23.384.643/0001-81, 3238, REALYZEIMOVEIS@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
130,FLY BRASIL, FLY BRASIL EMPREENDIMENTOS IMOBILIARIOS,"RUA IRACEMA SOARES PEREIRA JUNQUEIRA, 85, SALA 713,  - CENTRO
                                        26210-260.  - RJ
                                        (21) 30917677", 04.756.226/0001-78, 3597, JCLOPO@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
131,IMOVELPLUS, MARCOS FABRICIO SANTOS DAS CHAGAS,"R DOUTOR ATHAIDE PIMENTA DE MORAES 211, 00000 - CENTRO
                                        26210-190. NOVA IGUACU - RJ
                                        (21) 964436775", 45.991.113/0001-34, 203, relacionamento.imovelplus@gmail.com,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
132,LLIMEIRA, LIMEIRA SERVICOS ADMINISTRATIVOS LTDA,"R DOUTOR THIBAU 80 LOJA 31, 00000 - CENTRO
                                        26255-160. NOVA IGUACU - RJ
                                        (21) 964436775", 44.574.075/0001-51, 203, RODRIGO@LLIMEIRA.COM.BR,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
133,PDCX, RANDOW CRED SOLUCOES EM NEGOCIOS LTDA,"R QUINTINO BOCAIUVA 25 SALA 611,  NOVA IGUACU/RJ, 25 - CENTRO
                                        26210-150. NOVA IGUACU - RJ
                                        (21) 964599399", 41.463.511/0001-27, 1619, ATENDIMENTOPDCX@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
