,0,1,2,3
30, LOTERIAS NOVE DE ABRIL LTDA ME, 14.563.091/0001-88, 176, loteriasnovedeabril@gmail.com
31, LOTERIA SANTA CLARA LTDA, 15.324.264/0001-78, 176, loteriasantaclara@outlook.com
32, LOTERIAS VISTA ALEGRE LTDA, 14.576.529/0001-62, 3147, loteriasvistalegre@gmail.com
33, LOTERICA ANO BOM LTDA ME, 27.885.623/0001-45, 176, bazilioanobom@gmail.com
34, LOTERIA COLONIA SANTO ANTONIO LTDA, 39.876.457/0001-08, 3147, brunocarvalhojr@hotmail.com
35, SORTE DA FELICIDADE LOTERIA LTDA ME, 10.638.843/0001-71, 176, marco_marcela@hotmail.com
36, R R LOTERIA EIRELI, 27.697.275/0001-82, 3147, ala.jones@hotmail.com
37, LOTERIA DO LAZER LTDA, 10.725.207/0001-87, 176, lotlazer@hotmail.com
38, PONTO LOTERICO VIDA NOVA LTDA, 27.877.240/0001-25, 176, loteriamaraja@yahoo.com.br
39, IRMAOS LEIJOTO LOTERIAS LTDA ME, 14.512.995/0001-84, 176, loteriaaliancabm@outlook.com
40, LOTERIAS  MUNDIAL DE B. MANSA LTDA, 28.693.075/0001-14, 176, loteria.mundial@yahoo.com.br
41, LOTERIAS NOVE DE ABRIL LTDA ME, 14.563.091/0001-88, 176, loteriasnovedeabril@gmail.com
42, LOTERIA SANTA CLARA LTDA, 15.324.264/0001-78, 176, loteriasantaclara@outlook.com
43, LOTERIAS VISTA ALEGRE LTDA, 14.576.529/0001-62, 3147, loteriasvistalegre@gmail.com
44, LOTERICA ANO BOM LTDA ME, 27.885.623/0001-45, 176, bazilioanobom@gmail.com
45, LOTERIA COLONIA SANTO ANTONIO LTDA, 39.876.457/0001-08, 3147, brunocarvalhojr@hotmail.com
46, SORTE DA FELICIDADE LOTERIA LTDA ME, 10.638.843/0001-71, 176, marco_marcela@hotmail.com
47, R R LOTERIA EIRELI, 27.697.275/0001-82, 3147, ala.jones@hotmail.com
48, CASA LOTERICA OPALA LTDA, 06.934.599/0001-17, 4095, loteriaopala@gmail.com
49, Farrula Loterias Ltda Me, 30.698.831/0001-40, 4095, galante.carlos@hotmail.com
50, LOTERIA APARECIDA DA SORTE LTDA, 19.807.730/0001-27, 4095, aparecidadasorte@zkxloterias.com.br
51, LOTERIA DELTHENE LTDA, 30.851.646/0001-43, 4095, delthene@zkxloterias.com.br
52, LOTERIA DUQUE DA SORTE LTDA, 39.808.945/0001-70, 4095, loteriaduquedasorte1@gmail.com
53, LOTERIA HELIOPOLIS LTDA, 19.799.491/0001-00, 3390, negocialheliopolis@zkxloterias.com.br
54, LOTERIA LOTE XV LTDA, 14.418.432/0001-21, 4655, lotexv@zkxloterias.com.br
55, LOTERIA LOTOBEL LTDA, 14.418.398/0001-95, 3390, lotobel@zkxloterias.com.br
56, LOTERIA SAO BERNARDO LTDA, 19.807.709/0001-21, 4655, saobernardo@zkxloterias.com.br
57, LOTERIAS SAO VICENTE LTDA, 19.807.690/0001-13, 3390, saovicente@zkxloterias.com.br
58, RIO SORTE LOTERIA LTDA, 28.301.091/0001-14, 3390, lot.riosorte.b.roxo@gmail.com
59, LOTERICA ESTRELA DA SORTE LTDA, 03.911.182/0001-40, 178, albertoresende@ig.com.br
60, LOTERICA VALE ITABAPOANA LTDA, 05.195.100/0001-34, 178, lotericabj@hotmail.com
61, CABOFRIENSE LOTERIAS LTDA, 28.888.584/0001-00, 179, alexandremotalopes@yahoo.com.br
62, SALGADO SILVA LOTERIA LTDA, 04.883.423/0001-58, 179, antonioguarconi@oi.com.br
63, FAMILIA KES SORTE LOTERIAS LTDA ME, 14.804.026/0001-05, 179, sidkel@oi.com.br
64, LOTERIA SETE DE OUROS LTDA, 39.844.477/0001-99, 179, schmidt7ouros@gmail.com
65, LOTERIA CABO FRIO LTDA, 19.901.870/0001-60, 4437, cabofrio@zkxloterias.com.br
66, LOPES & LUNA LOTERIAS LTDA, 05.257.319/0001-10, 179, alexandremotalopes@yahoo.com.br
67, L A D SCHMIDT E FILHOS LTDA, 02.520.324/0001-86, 179, lot7ouro@ig.com.br
68, LOTERIA UNA SORTE LTDA, 19.820.819/0001-23, 4437, unasorte1@gmail.com
69, CASA LOTERICA MIX DE CABO FRIO LTDA, 11.074.442/0001-07, 1243, thamirysdemunerdossantos@yahoo.com.br
70, LUSOTECA LOTERIAS LTDA, 05.371.900/0001-69, 179, lusotecaloterias@oi.com.br
71, ALCOR LOTERIAS LTDA, 27.759.554/0001-23, 4437, alcorloterias@yahoo.com.br
72, CASA LOTERICA VILA RAIA LTDA, 04.689.715/0001-54, 2061, sodretamires2@gmail.com
73, LOTERIA CACHOEIRA DE PREMIOS LTDA, 16.967.491/0001-84, 2061, randradeporto@yahoo.com.br
74, MEGGIOLARO LOTERIAS LTDA, 05.484.518/0001-61, 2061, michel@estrelaservicos.com.br
75, LOTERICA DA PRACA LTDA, 39.433.204/0001-51, 2061, loterica.cachoeiras@gmail.com
76, LOTERIA CAMBUCI JE LTDA ME, 04.811.957/0001-79, 1245, neiacantagaloneia@hotmail.com
77, R M T LOTERIAS LTDA, 01.709.516/0001-72, 2524, ntrodrigo12@yahoo.com.br
78, LUME LOTERIAS LTDA, 05.411.069/0001-21, 1927, loteriaavenida@outlook.com
79, BRIELTAMI LOTERIA LTDA, 10.636.230/0001-03, 180, gabrielchagas2003@yahoo.com.br
80, LOTERIA BEIRA RIO LTDA, 04.255.773/0001-70, 4120, loteriabrio@hotmail.com
81, CHAMEM SORTE GRANDE LOTERIA LTDA, 05.197.383/0001-53, 2524, francrony@gmail.com
82, MADUKA LOTERIA LTDA, 03.236.801/0001-49, 3239, maduka_afp@hotmail.com
83, LOTERIA HORTO DE CAMPOS EIRELI - ME, 03.579.899/0001-37, 1927, jggiro@terra.com.br
84, C R R GOMES LOTERICAS EIRELI, 08.609.143/0001-07, 4337, carlosmegasorte@yahoo.com.br
85, R C T RANGEL EIRELI, 03.417.413/0001-64, 3239, loterias-barao@hotmail.com
86, LOTERICA CENTRAL DE CAMPOS LTDA, 04.641.231/0001-35, 180, lotericacentrall@gmail.com
87, S M F BARBOSA CERQUEIRA EIRELI ME, 10.652.944/0001-05, 4120, lotericatravessao@gmail.com
88, MANOLO LOTERIAS LTDA, 07.187.531/0001-84, 180, manololoteria@gmail.com
89, P J LOTERIAS LTDA, 10.491.723/0001-94, 180, casadafortunaloterias@gmail.com
90, R J NASCIMENTO LOTERIAS LTDA, 07.323.453/0001-06, 4120, lotcampista@gmail.com
91, FABILOTE CASA LOTERICA, 05.235.483/0001-27, 180, costatatianal@icloud.com
92, CAMPOS LOTO LTDA ME, 28.210.508/0001-33, 2524, camposloto@bol.com.br
93, CASA LOTERICA LUMABE LTDA, 10.696.682/0001-72, 3239, lotericalumabe@yahoo.com.br
94, LOTERICA GUARUS PLAZA EIRELI, 41.050.427/0001-81, 4337, josseandyson@gmail.com
95, EXEMPLO LOTERIAS LTDA, 11.067.538/0001-30, 4120, loteriaexemplo@gmail.com
96, MAXIMUS LOTERIA LTDA, 11.095.330/0001-24, 180, maximusloteria@hotmail.com
97, SORTE DO JOQUEI CASA LOTERICA LTDA - ME, 12.411.711/0001-38, 2524, loteriasortedojockey@hotmail.com
98, SORTE DO TURF LOTERIAS LTDA, 25.400.310/0001-24, 1927, loteriasortedojockey@hotmail.com
99, LOTERIA PAES E SILVA LTDA, 10.779.048/0001-01, 4337, vivianevpaes@terra.com.br
100, PAROLA LOTERIA LTDA, 01.741.646/0001-92, 970, loteriacantagalo@outlook.com
101, CALDEIRAO DA SORTE LTDA., 03.867.737/0001-02, 4660, alvarengaroberto60@hotmail.com
102, GENIO DAS LOTERIAS LTDA, 04.246.496/0001-39, 4642, eugeniodoquiosque@gmail.com
103, CASA LOTÉRICA CARMENSE LTDA. ME, 04.096.292/0001-69, 2072, jefersonagrelli@hotmail.com
104, LOTERICA BARRA  SAO JOAO LTDA ME, 04.647.664/0001-06, 1243, barradesaojoaolote@yahoo.com.br
105, MEGASORTE LOTERIA LTDA, 04.982.812/0001-30, 4870, megasortecabreu@gmail.com
106, LEVY DA SORTE LOTERIAS LTDA, 04.228.498/0001-03, 195, levy.dasorte@yahoo.com.br
107, J F MATOSO CASA LOTERICA LTDA ME, 05.695.147/0001-67, 184, felipechaucamatoso@hotmail.com
108, ENCONTRO DA SORTE LOTERIAS LTDA, 36.113.058/0001-99, 3174, ritasalgado25@hotmail.com
109, CASALOTERICA IRMAOS PIRES DE OLIVEIRA LT, 04.777.953/0001-11, 2060, attalloterias@hotmail.com
110, PIARAHA LOTERIAS LTDA, 05.527.068/0001-47, 2538, sorteimperial2024@gmail.com
111, LOTERIA E BAZAR SUPER SORTE LTDA, 07.002.697/0001-89, 2538, loteriasupersorte625@gmail.com
112, ATE QUE ENFIM LOTERIAS LTDA, 07.377.760/0001-61, 2538, atequeenfimlot@gmail.com
113, TENTACAO LOT. PAVUNA, 01.514.766/0001-57, 4118, andre.a.vilela@hotmail.com
114, LOTERICA MEGA SORTEIO LTDA, 06.298.535/0001-77, 1334, mauriciosupersorte@yahoo.com.br
115, LOTERIAS JR DE CAXIAS LTDA, 05.087.365/0001-19, 181, jornetdc@gmail.com
116, LAUREANO DA SORTE LOTERIAS LTDA, 12.389.451/0001-41, 4162, laureanodasorte2011@gmail.com
117, LOTERIA E BAZAR 407 LTDA, 04.911.469/0001-33, 4162, leo.bravo@uol.com.br
118, LOTERIA SORTE SUA PRIMAVERA LTDA, 04.672.925/0001-30, 1334, lotericansc@gmail.com
119, LOTERIAS BRIGADEIRO LTDA, 07.197.484/0001-50, 1334, loteriasbrigadeiro@hotmail.com
120, LOTERIA CONFIANCA LTDA, 03.998.250/0001-50, 2538, loteriasconfianca@hotmail.com
121, LUZIA C P FUMAUX LOTERIAS, 04.841.309/0001-65, 4118, lucrisfumaux@gmail.com
122, LOTERIA MEGA SORTE LTDA ME, 11.035.662/0001-13, 4162, mauriciomegasorte@yahoo.com.br
123, POLIDO & POLIDO LOTERIA LTDA, 07.647.397/0001-57, 181, 
124, STAR BLUE LOTERIAS LTDA, 05.391.355/0001-72, 4162, starblue@zkxloterias.com.br
125, BAZAR E LOTERIA  ESPORTIVA DINGO LTDA, 27.863.471/0001-80, 4118, loteriasdingo2019@gmail.com
126, CASA LOTERICA BOA SORTE CAXIAS LTDA, 14.245.871/0001-80, 4881, loteriaboasorte@ig.com.br
127, CASTELAO LOTERIA ESPORTIVA LTDA, 28.374.486/0001-47, 4881, castelaoloteria@gmail.com
128, DUQUE DA SORTE CASA LOTERICA LTDA, 19.578.037/0001-20, 4118, lotericaduquedasorte@gmail.com
129, DUQUESA LOTERIAS LTDA, 31.038.136/0001-14, 181, duquesaloteria@yahoo.com.br
130, LOTERIA DUQUE DE CAXIAS LTDA, 52.418.920/0001-28, 4881, eurodrigopmarques@gmail.com
131, LOTERIA PANNO LTDA, 12.450.076/0001-06, 1334, loteriapanno@gmail.com
132, LOTERIA SAO LUIZ LTDA, 27.902.469/0001-72, 181, luizers@outlook.com
133, LOTERIA SONHO MEU LTDA, 28.195.121/0001-55, 2538, sonhomeuloteria@gmail.com
134, JENIFFER AP SILVA LOTERIAS EIRELI, 29.889.198/0001-98, 4881, MVLOTERIAS@OUTLOOK.COM
135, MARLENE LOTERIAS LTDA, 28.845.238/0001-37, 181, marlenelot@hotmail.com
136, TREVO DE CAXIAS LOTERIAS LTDA, 29.396.595/0001-28, 181, loteria.trevodecaxias@gmail.com
137, ZUVANOV LOTERIA LTDA, 31.257.074/0001-31, 181, zuvanovloteria@yahoo.com.br
138, CASA LOTERICA SERRA AZUL LTDA, 05.467.224/0001-21, 4763, loteriaserraazul@gmail.com
139, H G M D  LOTERIAS LTDA, 02.973.258/0001-08, 4854, fenixloteria@gmail.com
140, LOTERIA MODELO LTDA, 14.800.822/0001-61, 4854, loteria-modelo@hotmail.com
141, LOTERIA DE IGUABA LTDA, 05.288.668/0001-08, 888, kesfranco@gmail.com
142, KES SORTE DE IGUABA LTDA, 07.389.872/0001-32, 1243, kesfranco@gmail.com
143, MAE E FILHO LOTERIAS LTDA, 04.929.134/0001-42, 811, loteriamaeefilho43@gmail.com
144, REAL MADRI LOTERIAS LTDA, 17.214.815/0001-76, 811, realmadriloterias@gmail.com
145, SAS LOTERIAS, 27.212.125/0001-31, 811, sasloterias@hotmail.com
146, SHOPPING DA SORTE LOTERIAS LTDA, 04.897.747/0001-45, 4376, sdasorteloterias@yahoo.com.br
147, FLAVAN DE ITAGUAI LOTERIA ESPORTIVA LTDA, 07.133.080/0001-00, 909, regina@lotocenter.com.br
148, J A DE ITAGUAI LOTERIAS LTDA, 07.133.113/0001-04, 909, REGINA@LOTOCENTER.COM.BR
149, CASA LOTERICA  ITAGUAI LTDA, 04.665.862/0001-94, 909, casalotericaitaguai@gmail.com
150, R H J SILVA  & CIA LTDA, 05.053.744/0001-98, 4642, roneyhygino@hotmail.com
151, LOTERICA ITAOCARA  LTDA ME, 05.326.174/0001-62, 1245, richardsontatiana@hotmail.com
152, LOTERICA ITAPERUNA LTDA ME, 19.653.818/0001-31, 182, lotericaitaperuna@hotmail.com
153, LOTERICA VINHOSA LTDA, 11.098.474/0001-34, 182, lotericavinhosa@hotmail.com
154, MANIVELA DA SORTE LOTERIAS LTDA, 01.503.943/0001-08, 182, maniveladasorteloterias@hotmail.com
155, LOTERICA PRIMEIRO DE MAIO LTDA, 04.659.196/0001-81, 182, negocial.portaldasorte@yahoo.com.br
156, CASA LOT.DIONAT LTDA, 02.642.953/0001-89, 2810, loteriadionat@bol.com.br
157, LOTERICA PENEDO LTDA, 39.842.458/0001-23, 2810, lotericapenedo1@gmail.com
158, LOTERICA TREVO 4 FOLHAS ITATIAIA LTDA, 14.938.024/0001-09, 2810, lotericatrevo4folhas@outlook.com
159, CLIPART LOTERIAS LTDA, 04.212.052/0001-82, 2131, loteriamegacred@outlook.com
160, LOTERIA LAJENSE LTDA, 05.343.358/0001-30, 182, lotericavinhosa@hotmail.com
161, LOTERIA IMPERATRIZ LTDA, 29.689.809/0001-54, 184, marcioschueler1949@gmail.com
162, LOTERIA AROEIRA LTDA, 36.188.068/0001-93, 184, loteriaaroeira@gmail.com
163, LOTERIA BOA SORTE DE MACAE LTDA, 10.362.917/0001-90, 4659, MARCUSLADERAADM@GMAIL.COM
164, LOTERIA CAVALEIROS LTDA, 11.131.886/0001-29, 3391, marcioschueler1949@gmail.com
165, MAGIA DA SORTE LOTERIAS LTDA, 04.532.774/0001-14, 184, cassiotakaodepaula@gmail.com
166, NOVA LOTERIA DO AEROPORTO LTDA - ME, 11.134.190/0001-56, 3391, MARCUSLADEIRAADM@GMAIL.COM
167, LOTERIA GOTA DE OURO LTDA, 05.397.796/0001-81, 4659, CASSIOTAKAODEPAULA@MSN.COM
168, LOTERIA KGW MIRAMAR LTDA ME, 10.578.191/0001-27, 184, LOTERIA.MIRAMAR@OUTLOOK.COM
169, LAGOMAR LOTERIA LTDA ME, 11.094.488/0001-80, 184, loterialimaesouza@yahoo.com.br
170, LOTO LIDER CASA LOTERICA LTDA, 02.753.590/0001-59, 184, l.soaresloteria@outlook.com
171, REIS & TEIXEIRA LOTERIA LTDA ME, 28.186.906/0001-61, 970, loteriamacuco@yahoo.com.br
172, D REBELLO & FILHOS LTDA, 68.703.313/0001-40, 183, joaocunha64@hotmail.com
173, P P FARIA TEIXEIRA LOTERIA LTDA, 05.351.854/0001-36, 183, pedrinholoteria@gmail.com
174, LOTERIA ESP MOURA DE PIABETA L, 03.232.924/0001-01, 183, loteriamourapiabeta@gmail.com
175, LOTERIA GUARANI DE PIABETA LTDA, 16.846.729/0001-13, 183, loteriamourapiabeta@gmail.com
176, CASA LOTERICA SANTA RITA DE PIABETA LTDA, 28.770.378/0001-93, 183, loteriamourapiabeta@gmail.com
177, LOTERIA SURUI LTDA, 17.096.574/0001-08, 183, loteria.surui@gmail.com
178, LOTERICA DIAMANTE LTDA - ME, 14.785.697/0001-68, 183, loteriaflordelotus@gmail.com
179, GUIA DE PACOBAIBA LOTERIA LTDA, 04.795.454/0001-57, 183, loteria.guia@gmail.com
180, LOTERICA MARE DA SORTE DE MANGARATIBA LT, 32.671.203/0001-04, 887, mbmariobrasil@hotmail.com
181, CASA LOTERICA ACIRAM LTDA, 32.247.264/0001-30, 1244, marcelot0168@gmail.com
182, LOTERIA SAO JOSE LTDA, 40.499.186/0001-90, 4724, loteriasaojosedoimbassai@gmail.com
183, CASA LOTERICA MARICA LTDA, 14.835.022/0001-86, 4724, loterica.marica@gmail.com
184, J M A F LOTERIAS LTDA, 17.325.467/0001-04, 1244, zecalot2501@hotmail.com
185, CENTRAL LOTERICA MARICA LTDA, 03.995.052/0001-33, 4724, mariajulinhasorte@hotmail.com
186, PONTO MAGICO LOTERIA, 28.227.155/0001-84, 1244, marcelot0168@gmail.com
187, S DA GAMA E L DA SILVA LOTERIAS LTDA, 10.645.908/0001-06, 1244, lotericasortegrande.itaipuacu@gmail.com
188, DUQUE LOTERIAS S/C LTDA, 04.412.519/0001-38, 2068, duqueloterias@hotmail.com
189, LOTERICA BANCO DE AREIA LTDA, 19.885.682/0001-95, 3406, bancodeareia@zkxloterias.com.br
190, J V LOTERIAS E REPRESENTACOES, 30.583.892/0001-61, 3406, loteriasjv@gmail.com
191, LOTERIA PRESIDENTE JUSCELINO LTDA, 19.972.542/0001-54, 3406, presidentejuscelino@zkxloterias.com.br
192, JANE E FELIX LOTERIA DA SORTE LTDA, 05.103.420/0001-17, 3406, janeefelixloteriadasorte@hotmail.com
193, PEGA A SORTE LOTERIAS LTDA, 19.410.070/0001-46, 3406, luciano.m.castro@gmail.com
194, BAR E LOTERIA ESPORTIVA ENELY LTDA, 27.630.334/0001-03, 992, enelyfilhosleal@gmail.com
195, LOTERIAS MULTIPLIQUE LTDA, 28.378.354/0001-93, 992, multiplique@yahoo.com
196, LOTERIA BARROS SANTANA LTDA, 36.618.169/0001-57, 1335, lotericamiracema@gmail.com
197, NAT LOTERIAS E SERVICOS LTDA ME, 04.725.165/0001-81, 1246, nat.loterias.rj@gmail.com
198, NAT LOTERIAS E SERVICOS LTDA ME, 04.725.165/0001-81, 1246, nat.loterias.rj@gmail.com
199, A F 1000 LOT ESP LTD, 01.512.686/0001-62, 187, felixtuninho@gmail.com
200, BEIJA FLOR DA SORTELTDA ME, 28.796.100/0001-95, 187, lotericabeijaflor@gmail.com
201, LOTERIA MENA BARRETO LTDA, 03.010.072/0001-08, 4145, mena.barreto@yahoo.com
202, LUZENTE 2000  LOT. E VIDEO, 03.064.030/0001-50, 187, mario.rodrigues@oi.com.br
203, LUMAR CASA LOTERICA LTDA, 19.451.549/0001-20, 4145, minadasorte2@gmail.com
204, LOT PONTE DE NILOPOL, 39.453.808/0001-60, 187, paulinhafflores@hotmail.com
205, SEBASTIAO D'CARLOS LOPES LOTERIAS LTDA, 28.082.642/0001-04, 187, loterica_sebastiao@yahoo.com.br
206, NOVO JOMAR LOTERIA LTDA, 04.693.689/0001-38, 4145, tunel_dasorte@yahoo.com.br
207, WANDERLEY   G   CARDOSO LOTERIAS LTDA, 07.561.534/0001-36, 4145, tatianemca6@gmail.com
208, ESPERANCA LOTERIA DE FRIBURGO LTDA, 03.450.712/0001-09, 4119, alexandre.p.moura@hotmail.com
209, LOT ESP BOA SORTE DE NOVA FRIBURGO LTDA, 28.122.273/0001-28, 1623, boasorteloterianf@gmail.com
210, LOTERIA ESPORTIVA CAMPESINA LTDA, 30.345.847/0001-79, 186, loteriacampesina@gmail.com
211, SAMYV S LOTERIA LTDA ME, 03.453.773/0001-11, 4119, LOTERIAOUROPRETO@HOTMAIL.COM
212, DARIOLOTO CASAS LOTERICAS LTDA, 39.808.012/0001-82, 4119, loteriapedradasortenf@gmail.com
213, C.R FRIBURGO COM. E REPRES. LTDA, 04.773.269/0001-61, 4119, CRPOTEDEOURO@OUTLOOK.COM
214, MEGA GCM LOTERIA LTDA, 04.838.131/0001-01, 1623, megasorteloteria@outlook.com
215, PE QUENTE DE FRIBURGO LOTERIAS LTDA ME, 11.015.239/0001-51, 186, pequentedefriburgoloterias@gmail.com
216, PONTE DA FORTUNA LOTERIA LTDA, 03.943.051/0001-45, 186, fariaraujo08@gmail.com
217, JPRX LOTERIAS LTDA, 10.567.789/0001-10, 186, lotericapontedeouro@hotmail.com
218, ROLA SORTE DE NOVA FRIBURGO, 02.346.605/0001-64, 186, rolasorteloteria@gmail.com
219, ARCA DA SORTE DE FRIBURGO LOTERIA LTDA, 03.919.692/0001-64, 186, fariaraujo08@gmail.com
220, SHOW DE PREMIOS LOTERIAS LTDA, 03.142.329/0001-85, 1623, loteriashowdepremios@gmail.com
221, ANJO DA SORTE DE IGUACU LOT ESP LTDA, 01.817.913/0001-68, 1619, ANJODASORTELOTERIA@OUTLOOK.COM
222, AUSTIN SORTE LOTERIA LTDA ME, 05.338.399/0001-39, 3238, mario.rodrigues.mdsr@gmail.com
223, CASA LOTERICA MARTUCHE LTDA, 01.409.954/0001-15, 3238, loteriamatrix@gmail.com
224," DAMA DA SORTE LOTERIA, PAP E INFOR LTDA", 07.514.329/0001-10, 185, consuelo.alfonso@yahoo.com.br
225, FAROL DA SORTE LOTERIAS LTDA, 12.508.379/0001-24, 1620, faroldasorte@hotmail.com
226, CASA LOTERICA FAMILIA LEITE LTDA, 19.376.584/0001-22, 4755, leitedasorte@gmail.com
227, CASA LOTERICA MIX DE NOVA IGUACU LTDA, 11.074.619/0001-67, 3358, LOTERIASMIX@RAMARKM32.COM.BR
228, MARCO DOIS CASA LOTERICA LTDA, 03.014.583/0001-06, 1620, marco2loteria@hotmail.com
229, MEGA SORTE CASA LOTERICA, 02.732.307/0001-02, 1620, megasorte2009@hotmail.com
230, MIGLOT LOTERIAS LTDA ME, 10.693.084/0001-40, 3238, miglot@runester.com.br
231, NOVA SORTE IGUACU LOTERIA LTDA, 19.256.522/0001-87, 185, loterianovasorteiguacu@hotmail.com
232, VITORIA LOTERIAS LTDA, 07.068.781/0001-03, 1620, novavitorialoteria@gmail.com
233, RANCHO DA SORTE LOTERIAS LTDA ME, 04.511.795/0001-53, 185, mprloterias@hotmail.com
234, SORTE DUPLA LOTERIA LTDA, 02.863.184/0001-49, 185, sorteduplaloteria@yahoo.com.br
235, LOT. STA RITA SUA SORTE 2000, 03.493.031/0001-10, 185, suasorte2000@hotmail.com
236, ANALU LOTERIAS LTDA, 36.534.998/0001-51, 3597, analuloterias@hotmail.com
237, CASA VIANENSE LTDA, 30.776.777/0001-03, 1619, ccavianense@gmail.com
238, CLIMAU LOTERIAS LTDA, 32.371.213/0001-16, 185, climauloterias@gmail.com
239, COMENDADOR DA SORTE LOTERIA, 30.288.823/0001-25, 4755, mario.rodrigues.mdsr@gmail.com
240, LOT ESP CONTE LTDA, 28.734.762/0001-30, 185, loterias_conte@hotmail.com
241, LOTERIA ESP TREZE LT, 30.834.840/0001-10, 1619, soniareginasalvato@yahoo.com.br
242, LOTERIA PEDREIRA LTDA, 20.100.055/0001-80, 1619, pedreira@zkxloterias.com.br
243, BASTOS LOTERICA LTDA, 39.995.199/0001-70, 3597, loteriasfly@gmail.com
244, M M LOT ESPORTIVA LT, 28.195.030/0001-10, 1619, mm.loterias@gmail.com
245, MUG LOTERIAS LTDA, 30.616.932/0001-24, 1619, mugloterias@gmail.com
246, NALA AIRAN LTDA ME, 74.041.294/0001-36, 1620, nalaairam@yahoo.com
247, PIRLIMPIMPIM LOTERIA ESPORTIVA LTDA, 27.864.388/0001-25, 4755, galante.carlos@hotmail.com
248, SAO LUCAS LOTERIAS LTDA, 19.515.087/0001-68, 3597, mariateresa.castro@hotmail.com
249, CASSIO J A DOS SANTO, 27.939.941/0001-41, 1336, cassiusloteria@gmail.com
250, LOTERIA FIQUE RICO, 31.205.081/0001-90, 1336, sergiodemourarj@yahoo.com.br
251, SORTE SUA LOTERIA LTDA, 04.838.945/0001-38, 1336, sortesualot747@gmail.com
252, CASSIO J A DOS SANTO, 27.939.941/0001-41, 1336, cassiusloteria@gmail.com
253, LOTERIA FIQUE RICO, 31.205.081/0001-90, 1336, sergiodemourarj@yahoo.com.br
254, SORTE SUA LOTERIA LTDA, 04.838.945/0001-38, 1336, sortesualot747@gmail.com
255, LOTERIA ESPORTIVA PARAIBA DO S, 31.082.282/0001-47, 925, loteriasimpatia.pdosul@gmail.com
256, NOVA CASA LOTERICA LTDA ME, 20.276.433/0001-81, 925, novaloteria.ps@hotmail.com
257, CASA LOTERICA DOIS IRMAOS DE PATY LTDA, 05.043.899/0001-43, 4871, lotericapaty@bol.com.br
