,Nome Fantasia,Razao Social,CNPJ,Agencia Vinculada,Email,Endereco,Atividade
10,"
                                        LCA CORRESPONDENCIA E DESPACHADORIA
                                    ", LINAMAR CARVALHO ALVES 08304849739, 45.683.932/0001-14, 3147, Linamaralves@yahoo.com.br,"RUA JOSE HIPOLITO 45 SALA 101, 00000 - CENTRO
                                        27345-000. BARRA MANSA - RJ
                                        (2) 474013425","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
11,"
                                        LITORAL CREDITO FINANCIAMENTOS IMOBILIARIOS
                                    ", LITORAL SERVICOS ADMINISTRATIVOS E FINANCEIROS LTDA, 53.178.857/0001-62, 2270, CAIXA@LITORALCREDITO.COM.BR,"EST BELFORD ROXO, 00000 - EST BELFORD ROXO 907 AP14 T 1 BLOC B
                                        26110-260. BELFORD ROXO - RJ
                                        (21) 996090059","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
12,"
                                        NOSSO LAR
                                    ", NOSSO LAR EMPREEDIMENTOS IMOBILIARIOS LT, 10.461.687/0001-16, 3406, NOSSOLAREMPIMOB@GMAIL.COM,"AV JOSÉ MARIANO DOS PASSOS 1040, 1040 - CENTRO
                                        26130-570. BELFORD ROXO - RJ
                                        (21) 26610263","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
13,"
                                        OSFERREIRAIMOVEIS LTDA
                                    ", MARCELO FERREIRA IMOVEIS LTDA, 39.451.753/0001-59, 3390, OSFERREIRAIMOVEIS@GMAIL.COM,"R ITAMBI 89 LOJA 02, 00000 - GRACAS
                                        26113-390. BELFORD ROXO - RJ
                                        (21) 991024368","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
14,"
                                        PORTELA CREDITO IMOBILIARIO
                                    ", 40162594 JANAINA DE ARAUJO PORTELA, 40.162.594/0001-51, 2973, JANAINA.PORTELA@LIVE.COM,"JOAQUIM DA COSTA LIMA, 00000 - SAO BERNARDO
                                        26165-225. BELFORD ROXO - RJ
                                        (21) 970395514","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
15,"
                                        LITORAL CREDITO FINANCIAMENTOS IMOBILIARIOS
                                    ", LITORAL SERVICOS ADMINISTRATIVOS E FINANCEIROS LTDA, 53.178.857/0001-62, 2270, CAIXA@LITORALCREDITO.COM.BR,"EST BELFORD ROXO, 00000 - EST BELFORD ROXO 907 AP14 T 1 BLOC B
                                        26110-260. BELFORD ROXO - RJ
                                        (21) 996090059","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
16,"
                                        NOSSO LAR
                                    ", NOSSO LAR EMPREEDIMENTOS IMOBILIARIOS LT, 10.461.687/0001-16, 3406, NOSSOLAREMPIMOB@GMAIL.COM,"AV JOSÉ MARIANO DOS PASSOS 1040, 1040 - CENTRO
                                        26130-570. BELFORD ROXO - RJ
                                        (21) 26610263","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
17,"
                                        OSFERREIRAIMOVEIS LTDA
                                    ", MARCELO FERREIRA IMOVEIS LTDA, 39.451.753/0001-59, 3390, OSFERREIRAIMOVEIS@GMAIL.COM,"R ITAMBI 89 LOJA 02, 00000 - GRACAS
                                        26113-390. BELFORD ROXO - RJ
                                        (21) 991024368","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
18,"
                                        PORTELA CREDITO IMOBILIARIO
                                    ", 40162594 JANAINA DE ARAUJO PORTELA, 40.162.594/0001-51, 2973, JANAINA.PORTELA@LIVE.COM,"JOAQUIM DA COSTA LIMA, 00000 - SAO BERNARDO
                                        26165-225. BELFORD ROXO - RJ
                                        (21) 970395514","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
19,"
                                        BABI FASHON
                                    ", BARBARA CRUZ DE ALMEIDA 11845191706, 19.666.546/0001-04, 2060, BARBARA.ALMEIDA4@HOTMAIL.COM,"R ALCIDES LIMA 18, LOJA 2,  - BANQUETE
                                        28660-000.  - RJ
                                        (22) 988024139","Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
20,"
                                        BMF CABO FRIO
                                    ", BMF CABO FRIO LTDA, 53.256.963/0001-17, 4437, CCA.LSFINANCIAMENTOS@GMAIL.COM,"R CRISTAL 01 LJ202, 1 - PORTINHO
                                        28915-330. CABO FRIO - RJ
                                        (22) 999300189","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
21,"
                                        BMF FINANCIAMENTOS
                                    ", BMF ASSESSORIA EM FINANCIAMENTOS LTDA, 53.348.471/0001-51, 3825, CCA.LSFINANCIAMENTOS@GMAIL.COM,"R INDEPENDENCIA 204, 00000 - SAO CRISTOVAO
                                        28909-460. CABO FRIO - RJ
                                        (22) 30181588","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
22,"
                                        CORTES E CASTRO SERVIÇOS LTDA
                                    ", CORTES E CASTRO SERVIÇOS LTDA, 11.059.278/0001-50, 179, CAIXAAQUICABOFRIO@HOTMAIL.COM,"AV ASSUNCAO 828 LOJA 02, 828 - CENTRO
                                        28906-200. CABO FRIO - RJ
                                        (22) 999152006","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
23,"
                                        FINANCIE AQUI
                                    ", B LEAL CONSULTORIA E GESTAO ADMINISTRATIVA LTDA, 52.696.953/0001-30, 4437, FINANCIEAQUI.CONTATO@GMAIL.COM,"R MARIO QUINTANILHA 62 LOJA 11 QUADRA73 LOTE 238, 00000 - VILA NOVA
                                        28907-420. CABO FRIO - RJ
                                        (22) 992744147","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
24,"
                                        FINANCIE AQUI
                                    ", GRAN ALLIANCE LTDA, 28.641.984/0001-09, 179, FINANCIEAQUI.CAIXA@GMAIL.COM,"MARIO QUINTANILHA 62 LOJA 16, 00000 - VILA NOVA
                                        28907-420. CABO FRIO - RJ
                                        (22) 992744147","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
25,"
                                        MM IMOVEIS
                                    ", MEDEIROS E MELO NEGOCIOS IMOB LTDA, 23.170.494/0001-58, 1243, MARCELA.MMIMOVEISCABOFRIO@GMAIL.COM,"AV NILO PECANHA, 325 - CENTRO
                                        28907-000. CABO FRIO - RJ
                                        (22) 26454292","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
26,"
                                        LIANA DA SILVA AMARAL 09425305781
                                    ", LIANA DA SILVA AMARAL 09425305781, 12.797.374/0001-69, 2061, FPRCONSULTORIA@GMAIL.COM,"GOVERNADOR ROBERTO SILVEIRA 726 CASA 02, 00000 - CAMPO DO PRADO
                                        28680-000. CACHOEIRAS DE MACACU - RJ
                                        (21) 998772965","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
27,"
                                        AGILIZE
                                    ", AGILIZE - ASSESSORIA IMOBILIARIA LTDA, 11.517.826/0001-49, 180, AG.0180@AGILIZECEF.COM,"RUA VINTE E UM DE ABRIL 219 LJ 03, 219 - CENTRO
                                        28013-080. CAMPOS DOS GOYTACAZES - RJ
                                        (22) 998444561","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
28,"
                                        BASE FORT
                                    ", RANGEL FINANCIAMENTOS E IMOVEIS LTDA, 13.406.987/0001-90, 180, FINANCIAMENTOS@BASEFORT.NET,"RUA SALDANHA MARINHO 458 SL 1111, 458 - CENTRO
                                        28010-272. CAMPOS DOS GOYTACAZES - RJ
                                        (22) 30256229","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
29,"
                                        C ALARCON DA SILVA SERVICOS LTDA
                                    ", C ALARCON DA SILVA SERVICOS LTDA, 48.929.337/0001-04, 3239, CIBELEAS1980@HOTMAIL.COM,"MARECHAL DEODORO 46 LOJAS 01 E 02, 00000 - CENTRO
                                        28010-280. CAMPOS DOS GOYTACAZES - RJ
                                        (22) 999619094","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
30,"
                                        CREDIMOB
                                    ", CREDIMOB CONS E ASSESSORIA EIRELI, 27.663.489/0001-38, 4337, CREDIMOBCAMPOS@GMAIL.COM,"R MARCILIO DIAS, 35 PARTE,  - PQ TAMANDARÉ
                                        28035-015.  - RJ
                                        (22) 997673313","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
31,"
                                        CREDIMOVEIS
                                    ", CREDIMOVEIS CENTRO DE SERVICOS LTDA, 34.714.359/0001-42, 3239, CREDIMOVEIS.HABITACAO@HOTMAIL.COM,"R VOLUNTARIOS DA PATRIA 514 SL 205, CAMPOS DOS GOYTACAZES, RJ, 514 - CENTRO
                                        28030-260. CAMPOS DOS GOYTACAZES - RJ
                                        (22) 999263241","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
32,"
                                        CREDIMOVEIS
                                    ", RB BUSNISSES IMOBILIARIOS LTDA, 35.059.089/0001-46, 3239, CREDIMOVEISRB@GMAIL.COM,"VOLUNTARIOS DA PATRIA 514 SALA 205, 00000 - CENTRO
                                        28030-260. CAMPOS DOS GOYTACAZES - RJ
                                        (2) 299600499","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
33,"
                                        ELOCAMPOS CONSULTORIA IMOBILIARIA
                                    ", ELOCAMPOS CONSULTORIA IMOBILIARIA LTDA, 09.588.498/0001-20, 4120, ELO.CORRESPONDENCIA@GMAIL.COM,"AV PELINCA 413, 413 - PARQUE TAMANDARÉ
                                        28035-053. CAMPOS DOS GOYTACAZES - RJ
                                        (22) 999111470","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
34,"
                                        MASTER CRED
                                    ", API CONSULTORIA IMOBILIARIA FINANCIAMENTOS E REPRESENTACOES LTDA, 45.420.739/0001-90, 180, MASTERCREDCAIXA@GMAIL.COM,"R DOUTOR JOAO MARIA 422 LOJA 04, 422 - PARQUE JOAO MARIA
                                        28027-310. CAMPOS DOS GOYTACAZES - RJ
                                        (22) 998791628","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
35,"
                                        MAX SERVICOS
                                    ", MAX SERVICOS ADM E TRANS DE CARGAS EIREL, 13.597.502/0001-93, 3239, MAXCRED.CONTATO@GMAIL.COM,"RUA BARÃO DE MIRACEMA 210 LOJA 4,  - CENTRO
                                        28035-302.  - RJ
                                        (22) 27356567","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
36,"
                                        PATAMAR CRED
                                    ", PATAMAR CRED LTDA, 43.596.124/0001-94, 2524, patamarcred.cca@gmail.com,"R TENENTE CORONEL CARDOSO 455 LOJA 01, CAMPOS DOS GOYTACAZES/RJ, 455 - CENTRO
                                        28010-801. CAMPOS DOS GOYTACAZES - RJ
                                        (2) 297462098","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
