,Nome Fantasia,Razao Social,CNPJ,Agencia Vinculada,Email,Endereco,Atividade
10,"
                                        RAINE IMOVEIS LTDA
                                    ", RAINE IMOVEIS LTDA, 24.217.964/0001-54, 171, RAINECESCON@HOTMAIL.COM,"RUA JAIR COELHO, 34, 34 - BOM PASTOR
                                        29308-540. CACHOEIRO DE ITAPEMIRIM - ES
                                        (28) 999052243","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
11,"
                                        TOFANO IMOVEIS
                                    ", TOFANO IMOVEIS LTDA, 24.443.298/0001-72, 171, FINANCEIRO@TOFANONETIMOVEIS.COM,"R LAURO VIANA 2A28 LOJA 03, 00000 - CENTRO
                                        29300-050. CACHOEIRO DE ITAPEMIRIM - ES
                                        (2) 835229099","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
12,"
                                        C.P.O.M. V COMPREI COM VITAO CONSULTORIA FINANCEIRA
                                    ", CARLA PATRICIA DE OLIVEIRA MACHADO BARATELLO, 13.074.517/0002-58, 1539, CPOMCREDITOFORTE@HOTMAIL.COM,"PRESIDENTE WENCESLAU BRAZ 20, 20 - EXPEDITO
                                        29151-758. CARIACICA - ES
                                        (27) 88046966","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- CONTA POUPANCA CAIXA FACIL- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
13,"
                                        M PASSOS IMOVEIS LTDA
                                    ", M PASSOS IMOVEIS LTDA, 37.705.369/0001-00, 590, MIERLESCORRETOR@GMAIL.COM,"CANOPUS 1 LOJA 8 PAVMTO1 BLOCO 2 A, 00000 - CRUZEIRO DO SUL
                                        29144-020. CARIACICA - ES
                                        (27) 999472322","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
14,"
                                        MUNDO CAIXA
                                    ", 49544416 EMILY VICTORIA BALDRAIA, 49.544.416/0001-60, 1539, EMILYLINE123@OUTLOOK.COM,"MANOEL JOAQUIM DOS SANTOS 91 LOJA IMOBILIARIA, 00000 - ITACIBA
                                        29150-270. CARIACICA - ES
                                        (27) 996457978","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
15,"
                                        ALFA CONFIANCA IMOVEIS LTDA
                                    ", ALFA CONFIANCA IMOVEIS LTDA, 03.347.867/0001-06, 172, CONFIANCAIMOVEISCOL@GMAIL.COM,"ANGELO GIURIZATO, 62, 62 - Centro
                                        29700-160. COLATINA - ES
                                        (27) 37210618","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
16,"
                                        ATUAL CORRESPONDENTE LTDA
                                    ", ATUAL CORRESPONDENTE LTDA, 44.297.990/0001-47, 1540, CONTATO.ATUALCORRESPONDENTE@GMAIL.COM,"GERMANO NAUMANN FILHO, 00000 - CENTRO
                                        29700-030. COLATINA - ES
                                        (2) 799962499","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
17,"
                                        CHAVES SOLUCOES FINANCEIRAS LTDA
                                    ", CHAVES SOLUCOES FINANCEIRAS LTDA, 50.047.285/0001-94, 1540, CHAVESS.REPRESENTACOES@GMAIL.COM,"SILVIO AVIDOS 1562 ANDAR 2 SALA 201 EDIF ANTONIORONCONI, 00000 - SAO SILVANO
                                        29703-134. COLATINA - ES
                                        (27) 999723101","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
18,"
                                        DADALTO IMOBILIARIA LTDA
                                    ", DADALTO IMOBILIARIA LTDA, 34.482.934/0001-29, 172, DADALTOCORRESPONDENTE@GMAIL.COM,"R ELZA B MACHADO 61 ANDAR 1 EDIF FELIPPE, 61 - CENTRO
                                        29700-170. COLATINA - ES
                                        (27) 998485265","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
19,"
                                        GIOVANI FONTANA
                                    ", GIOVANI FONTANA PRESTACAO DE SERVICOS LT, 06.348.525/0001-07, 172, LYANDRA.GFIMOVEIS@GMAIL.COM,"Avenida Getulio Vargas, 500 - sala 412,  - Centro
                                        29700-000.  - ES
                                        (27) 37227291","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
20,"
                                        SIMONE BERBETI PACHECO
                                    ", SIMONE BERBETI PACHECO, 08.172.971/0001-20, 2040, SIMBERBETI@GMAIL.COM,"RUA ALFREDO VELTEN 53 LOJA 02, 53 - CENTRO
                                        29260-000. DOMINGOS MARTINS - ES
                                        (27) 998503798","Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- CONTA POUPANCA CAIXA FACIL- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
21,"
                                        valdirene vidal mazoco ewald me
                                    ", valdirene vidal mazoco ewald me, 09.554.897/0001-70, 2040, ROMULOEWALD@TERRA.COM.BR,"pc pedro ewald 04,  - paraju
                                        29273-000.  - ES
                                        (27) 32491096","Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
22,"
                                        JUSSARA ATAIDE BARROS PORCIDELI 94564680
                                    ", JUSSARA ATAIDE BARROS PORCIDELI 94564680, 14.534.984/0001-03, 557, LUIS-CLAUDIO.NASCIMENTO@BOL.CO,"R TENENTE ARNALDO TULIO, 335, 335 - DA PALHA
                                        29560-000. GUACUI - ES
                                        (28) 35533988","Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
23,"
                                        MS SERVICOS E DESPACHANTE
                                    ", MS SERVICOS E DESPACHANTE LTDA, 19.684.381/0001-01, 4192, MCMV.GUARAPARI@GMAIL.COM,"AV BEIRA MAR 2158 LOJA 12 EDIF FRAM TOWER, 2158 - PRAIA DO MORRO
                                        29216-010. GUARAPARI - ES
                                        (27) 32612050","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
24,"
                                        O L SERVICOS FINANCEIROS
                                    ", O L SERVICOS FINANCEIROS LTDA, 46.801.563/0001-80, 881, OCDRUMOND@HOTMAIL.COM,"AV PRAIANA 1766 EDIF SONIA RODRIGUES LOJA 01, 1766 - PRAIA DO MORRO
                                        29216-090. GUARAPARI - ES
                                        (27) 998028005","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
25,"
                                        SR FINANCIAMENTOS
                                    ", MOREIRA FINANCIAMENTOS LTDA, 20.245.068/0001-48, 881, srramosfinanciamentos@gmail.com,"R DOUTOR SILVA MELLO 106 LJ 29, 106 - CENTRO
                                        29200-360. GUARAPARI - ES
                                        (27) 33612010","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
26,"
                                        DROGRARIA BOA ESPERANÇA
                                    ", KELLY C FLORINDO DROGRARIA ME, 20.276.751/0001-42, 4333, MAISSAUDEDROG1@GMAIL.COM,"AV AFONSO CLAUDIO, 821, LJ B,  - CENTRO
                                        29395-000.  - ES
                                        (28) 999886976","Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
27,"
                                        Supermercado Bom Destino
                                    ", Supermercado Bom Destino Ltda - Me, 16.756.238/0001-81, 1836, SUPER.BOMDESTINO@GMAIL.COM,"Av Henriqueta Payer Checom 357, 357 - Bom Destino
                                        29280-000. ICONHA - ES
                                        (28) 35371361","Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
28,"
                                        DROGARIA SANTO ANTONIO
                                    ", ALAILSON PINHEIRO GARCIA & CIA LTDA, 26.014.869/0001-89, 1384, FARMACIASANTOANTONIOVILA@GMAIL.COM,"PC DOMINGOS JOSE MARTINS 120, 120 - CENTRO
                                        29330-000. ITAPEMIRIM - ES
                                        (28) 35296028","Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
29,"
                                        GRUPO KATIA CORRETORA LITORAL
                                    ", LAYBER E GONCALVES ASSOCIADOS LTDA, 41.415.690/0001-27, 1384, IMOVEIS@KATIACORRETORA.COM.BR,"ITAPEMIRIM 1728, 00000 - ITAOCA
                                        29338-000. ITAPEMIRIM - ES
                                        (28) 999590529","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
30,"
                                        SAM ASSESSORIA E PROJETOS EIRELI
                                    ", SAM ASSESSORIA E PROJETOS EIRELI, 24.501.250/0001-73, 3656, SAMACESSORIA1@GMAIL.COM,"ROSA CREMASCO GROBERIO 155 QUADRAG LOTE 25 ANDAR 2, 1913 - NOVE DE AGOSTO
                                        29950-000. JAGUARE - ES
                                        (27) 999991754","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
31,"
                                        EXATA SERVIÇOS ADM E IMOBILIARIOS LTDA
                                    ", EXATA SERVIÇOS ADM E IMOBILIARIOS LTDA, 20.199.528/0001-49, 3489, EXATA.CAIXA@GMAIL.COM,"AV JOAO FELIPE CALMON 719,  - CENTRO
                                        29900-023.  - ES
                                        (27) 31511033","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
32,"
                                        ILHA & ILHA
                                    ", ILHA & ILHA LTDA, 13.980.737/0001-60, 555, LISBOA121@HOTMAIL.COM,"AV NOGUEIRA DA GAMA 1431 loja 01, 1431 - Centro
                                        29900-043. LINHARES - ES
                                        (27) 99511485","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
33,"
                                        SUPERMERCADO FERRACO
                                    ", SUPERMERCADO FERRACO LTDA, 06.095.056/0001-53, 3489, SUPERMERCADOFERRACO@HOTMAIL.CO,"R ARGEU MORAES SN,  - CANIVETE
                                        29906-998.  - ES
                                        (27) 33738518","Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
34,"
                                        STAR SOLUCOES EM IMOVEIS LTDA
                                    ", STAR SOLUCOES EM IMOVEIS LTDA, 35.989.706/0001-02, 850, STAR_SOLUCOES@HOTMAIL.COM,"AMAPA, 00000 - CENTRO
                                        29345-000. MARATAIZES - ES
                                        (28) 999051984","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
